aircraft_code	aircraft code
airline_code	airline code
airline_name	airline name
airport_code	airport code
airport_name	airport name
arrive_date.date_relative	relative arrival date
arrive_date.day_name	arrival day
arrive_date.day_number	arrival day number
arrive_date.month_name	arrival date month
arrive_date.today_relative	arrive_date.today_relative
arrive_time.end_time	arrive_time.end_time
arrive_time.period_mod	arrive_time.period_mod
arrive_time.period_of_day	arrive_time.period_of_day
arrive_time.start_time	arrive_time.start_time
arrive_time.time	arrive_time.time
arrive_time.time_relative	arrive_time.time_relative
booking_class	booking class
city_name	city name
class_type	class type
compartment	compartment
connect	connect
cost_relative	relative cost
day_name	day name
day_number	day number
days_code	days code
depart_date.date_relative	relative departure date
depart_date.day_name	departure day
depart_date.day_number	departure day number
depart_date.month_name	departure date month
depart_date.today_relative	depart_date.today_relative
depart_date.year	departure date year
depart_time.end_time	depart time end
depart_time.period_mod	depart_time.period_mod
depart_time.period_of_day	depart_time.period_of_day
depart_time.start_time	depart_time.start_time
depart_time.time	departure time
depart_time.time_relative	depart_time.time_relative
economy	economy
fare_amount	fare amount
fare_basis_code	fare basis code
flight	flight
flight_days	flight days
flight_mod	flight mod
flight_number	flight number
flight_stop	flight stop
flight_time	flight time
fromloc.airport_code	fromloc.airport_code
fromloc.airport_name	fromloc.airport_name
fromloc.city_name	fromloc.city_name
fromloc.state_code	fromloc.state_code
fromloc.state_name	fromloc.state_name
meal	meal
meal_code	meal code
meal_description	meal description
mod	mod
month_name	month
or	or
period_of_day	period of day
restriction_code	restriction code
return_date.date_relative	return_date.date_relative
return_date.day_name	return_date.day_name
return_date.day_number	return_date.day_number
return_date.month_name	return_date.month_name
return_date.today_relative	return_date.today_relative
return_time.period_mod	return_time.period_mod
return_time.period_of_day	return_time.period_of_day
round_trip	round trip
state_code	state code
state_name	state name
stoploc.airport_code	stoploc.airport_code
stoploc.airport_name	stoploc.airport_name
stoploc.city_name	stoploc.city_name
stoploc.state_code	stoploc.state_code
time	time
time_relative	relative time
today_relative	today_relative
toloc.airport_code	toloc.airport_code
toloc.airport_name	toloc.airport_name
toloc.city_name	toloc.city_name
toloc.country_name	toloc.country_name
toloc.state_code	toloc.state_code
toloc.state_name	toloc.state_name
transport_type	transport type
