The	DT	det	O
TGF	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
beta	NN	compound	I-Gene_or_gene_product
type	NN	compound	I-Gene_or_gene_product
II	CD	nummod	I-Gene_or_gene_product
receptor	NN	ROOT	I-Gene_or_gene_product
in	IN	case	O
chronic	JJ	amod	B-Cancer
myeloid	JJ	amod	I-Cancer
leukemia	NN	nmod	I-Cancer
:	:	punct	O
analysis	NN	dep	O
of	IN	case	O
microsatellite	NN	compound	O
regions	NNS	nmod	O
and	CC	cc	O
gene	NN	compound	O
expression	NN	conj	O
.	.	punct	O

Genomic	JJ	amod	O
instability	NN	nsubj	O
is	VBZ	cop	O
one	CD	nummod	O
mechanism	NN	ROOT	O
proposed	VBN	acl	O
to	TO	mark	O
play	VB	xcomp	O
a	DT	det	O
role	NN	dobj	O
in	IN	case	O
the	DT	det	O
disease	NN	compound	O
progression	NN	nmod	O
of	IN	case	O
chronic	JJ	amod	B-Cancer
myeloid	JJ	amod	I-Cancer
leukemia	NN	nmod	I-Cancer
(	-LRB-	punct	O
CML	NN	appos	B-Cancer
)	-RRB-	punct	O
.	.	punct	O

Microsatellite	NN	compound	O
regions	NNS	nsubj	O
in	IN	case	O
the	DT	det	O
type	NN	compound	B-Gene_or_gene_product
II	CD	nummod	I-Gene_or_gene_product
transforming	VBG	compound	I-Gene_or_gene_product
growth	NN	compound	I-Gene_or_gene_product
factor	NN	compound	I-Gene_or_gene_product
-	:	punct	I-Gene_or_gene_product
beta	NN	compound	I-Gene_or_gene_product
receptor	NN	compound	I-Gene_or_gene_product
(	-LRB-	punct	O
TGF	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
beta	NN	intj	I-Gene_or_gene_product
RII	NN	compound	I-Gene_or_gene_product
)	-RRB-	punct	O
gene	NN	nmod	O
appear	VBP	ROOT	O
to	TO	mark	O
be	VB	cop	O
targets	NNS	xcomp	O
for	IN	case	O
mutation	NN	nmod	O
in	IN	case	O
some	DT	det	O
cancers	NNS	nmod	B-Cancer
displaying	VBG	acl	O
microsatellite	NN	compound	O
instability	NN	dobj	O
(	-LRB-	punct	O
replication	NN	compound	O
error	NN	compound	O
phenotype	NN	dep	O
,	,	punct	O
RER	NN	appos	O
+	CC	cc	O
)	-RRB-	punct	O
.	.	punct	O

Furthermore	RB	advmod	O
,	,	punct	O
TGF	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
beta	NN	compound	I-Gene_or_gene_product
RII	NN	compound	I-Gene_or_gene_product
mutations	NNS	nsubjpass	O
in	IN	case	O
RER	NN	nmod	B-Cancer
+	CC	cc	I-Cancer
tumors	NNS	conj	I-Cancer
have	VBP	aux	O
been	VBN	auxpass	O
associated	VBN	ROOT	O
with	IN	case	O
decreased	VBN	amod	O
TGF	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
beta	NN	compound	I-Gene_or_gene_product
RII	NN	compound	I-Gene_or_gene_product
mRNA	NN	compound	O
levels	NNS	nmod	O
.	.	punct	O

As	IN	mark	O
TGF	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
beta	NN	nsubj	I-Gene_or_gene_product
is	VBZ	cop	O
a	DT	det	O
potent	JJ	amod	O
negative	JJ	amod	O
growth	NN	compound	O
regulator	NN	nmod	O
of	IN	case	O
hematopoietic	JJ	amod	B-Cell
cells	NNS	nmod	I-Cell
,	,	punct	O
investigations	NNS	nsubjpass	O
were	VBD	auxpass	O
undertaken	VBN	ROOT	O
to	TO	mark	O
determine	VB	xcomp	O
whether	IN	mark	O
inactivation	NN	nsubjpass	O
of	IN	case	O
the	DT	det	O
receptor	NN	nmod	O
by	IN	case	O
microsatellite	NN	compound	O
alteration	NN	nmod	O
might	MD	aux	O
be	VB	auxpass	O
involved	VBN	ccomp	O
in	IN	case	O
the	DT	det	O
progression	NN	nmod	O
of	IN	case	O
CML	NN	nmod	B-Cancer
.	.	punct	O

Analysis	NN	nsubj	O
of	IN	case	O
TGF	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
beta	NN	compound	I-Gene_or_gene_product
RII	NN	compound	I-Gene_or_gene_product
mRNA	NN	compound	O
expression	NN	nmod	O
by	IN	case	O
RNase	NN	compound	B-Gene_or_gene_product
protection	NN	nmod	O
,	,	punct	O
with	IN	case	O
comparison	NN	nmod	O
of	IN	case	O
cells	NNS	nmod	B-Cell
from	IN	case	O
the	DT	det	O
chronic	JJ	nmod	O
,	,	punct	O
accelerated	VBN	conj	O
and	CC	cc	O
blast	NN	conj	O
phases	NNS	dep	O
of	IN	case	O
CML	NN	nmod	B-Cancer
,	,	punct	O
showed	VBD	ROOT	O
no	DT	neg	O
change	NN	dobj	O
in	IN	case	O
TGF	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
beta	NN	compound	I-Gene_or_gene_product
RII	NN	compound	I-Gene_or_gene_product
transcript	NN	compound	O
levels	NNS	nmod	O
during	IN	case	O
disease	NN	compound	O
progression	NN	nmod	O
.	.	punct	O

However	RB	advmod	O
,	,	punct	O
during	IN	case	O
each	DT	det	O
phase	NN	nmod	O
of	IN	case	O
the	DT	det	O
disease	NN	nmod	O
,	,	punct	O
low	JJ	amod	O
levels	NNS	nsubjpass	O
of	IN	case	O
TGF	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
beta	NN	compound	I-Gene_or_gene_product
RII	NN	nmod	I-Gene_or_gene_product
were	VBD	auxpass	O
detected	VBN	ROOT	O
when	WRB	advmod	O
compared	VBN	advcl	O
with	IN	case	O
the	DT	det	O
hematopoietic	JJ	amod	B-Cell
cells	NNS	nmod	I-Cell
of	IN	case	O
normal	JJ	amod	O
donors	NNS	nmod	B-Organism
.	.	punct	O

Furthermore	RB	advmod	O
,	,	punct	O
this	DT	det	O
decreased	VBN	amod	O
expression	NN	nsubjpass	O
was	VBD	auxpass	O
also	RB	advmod	O
observed	VBN	ROOT	O
in	IN	case	O
the	DT	det	O
other	JJ	amod	O
myeloproliferative	JJ	amod	O
disorders	NNS	nmod	O
,	,	punct	O
polycythemia	NN	nsubj	O
rubra	NN	compound	O
vera	NN	nmod	O
(	-LRB-	punct	O
PRV	NN	appos	O
)	-RRB-	punct	O
and	CC	cc	O
essential	JJ	amod	O
thrombocythemia	NN	conj	O
(	-LRB-	punct	O
ET	NN	appos	O
)	-RRB-	punct	O
.	.	punct	O

The	DT	det	O
leukemia	NN	compound	B-Cell
cell	NN	compound	I-Cell
lines	NNS	nsubj	I-Cell
K562	NN	dep	I-Cell
and	CC	cc	O
HL	NN	compound	B-Cell
-	:	punct	I-Cell
60	CD	conj	I-Cell
had	VBD	ROOT	O
no	DT	neg	O
detectable	JJ	amod	O
TGF	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
beta	NN	compound	I-Gene_or_gene_product
RII	NN	compound	I-Gene_or_gene_product
mRNA	NN	dobj	O
