The	DT	det	O
transition	NN	nsubj	O
between	IN	case	O
both	DT	det	O
conformations	NNS	nmod	O
contributes	VBZ	ROOT	O
to	TO	case	O
the	DT	det	O
control	NN	nmod	O
of	IN	case	O
glycolysis	NN	nmod	O
and	CC	cc	O
is	VBZ	cop	O
important	JJ	conj	O
for	IN	case	O
tumor	NN	compound	B-Cell
cell	NN	compound	I-Cell
proliferation	NN	nmod	O
and	CC	cc	O
survival	NN	conj	O
.	.	punct	O

BACKGROUND	NN	ROOT	O
AND	CC	cc	O
OBJECTIVES	NNS	conj	O
:	:	punct	O
Aquaporins	NNS	nsubj	B-Gene_or_gene_product
(	-LRB-	punct	O
AQPs	NNS	appos	B-Gene_or_gene_product
)	-RRB-	punct	O
play	VBP	dep	O
important	JJ	amod	O
roles	NNS	dobj	O
in	IN	case	O
water	NN	nmod	B-Simple_chemical
and	CC	cc	O
glycerol	NN	compound	B-Simple_chemical
transport	NN	conj	O
.	.	punct	O

In	IN	case	O
addition	NN	nmod	O
,	,	punct	O
reverse	JJ	amod	O
transcription	NN	compound	O
-	HYPH	punct	O
polymerase	NN	compound	O
chain	NN	compound	O
reaction	NN	nsubjpass	O
and	CC	cc	O
prostaglandin	NN	compound	B-Simple_chemical
E	NN	conj	I-Simple_chemical
(	-LRB-	punct	I-Simple_chemical
2	CD	appos	I-Simple_chemical
)	-RRB-	punct	I-Simple_chemical
(	-LRB-	punct	O
PGE	NN	compound	B-Simple_chemical
(	-LRB-	punct	I-Simple_chemical
2	CD	appos	I-Simple_chemical
)	-RRB-	punct	I-Simple_chemical
)	-RRB-	punct	O
immunoassay	NN	conj	O
were	VBD	auxpass	O
performed	VBN	ROOT	O
to	TO	mark	O
verify	VB	xcomp	O
whether	IN	mark	O
BV	NN	nsubj	B-Organism_substance
possesses	VBZ	ccomp	O
an	DT	det	O
inhibitory	JJ	amod	O
effect	NN	dobj	O
on	IN	case	O
the	DT	det	O
expression	NN	nmod	O
of	IN	case	O
cyclooxygenase	NN	nmod	B-Gene_or_gene_product
(	-LRB-	punct	O
COX	NN	appos	B-Gene_or_gene_product
)	-RRB-	punct	O
and	CC	cc	O
PGE	NN	compound	B-Simple_chemical
(	-LRB-	punct	I-Simple_chemical
2	LS	appos	I-Simple_chemical
)	-RRB-	punct	I-Simple_chemical
synthesis	NN	conj	O
.	.	punct	O

sDll4	NN	nsubj	B-Gene_or_gene_product
similarly	RB	advmod	O
induced	VBD	ROOT	O
defective	JJ	amod	O
vascular	JJ	amod	B-Multi-tissue_structure
response	NN	dobj	O
in	IN	case	O
tumor	NN	compound	B-Cancer
implants	NNS	nmod	O
leading	VBG	acl	O
to	TO	case	O
reduced	VBN	amod	O
tumor	NN	compound	B-Cancer
growth	NN	nmod	O
.	.	punct	O

There	EX	expl	O
is	VBZ	ROOT	O
evidence	NN	nsubj	O
for	IN	case	O
the	DT	det	O
implication	NN	nmod	O
of	IN	case	O
ARF	NN	nmod	B-Gene_or_gene_product
in	IN	case	O
angiogenesis	NN	nmod	O
.	.	punct	O

Three	CD	nummod	O
patients	NNS	nsubj	B-Organism
(	-LRB-	punct	O
14	CD	nummod	O
%	NN	appos	O
)	-RRB-	punct	O
regained	VBD	ROOT	O
2	CD	nummod	O
or	CC	cc	O
more	JJR	conj	O
lines	NNS	dobj	O
of	IN	case	O
visual	JJ	amod	O
acuity	NN	nmod	O
.	.	punct	O

The	DT	det	O
proinflammatory	JJ	amod	O
activities	NNS	nsubj	O
link	VBP	ROOT	O
TNF	NN	compound	B-Gene_or_gene_product
-	:	punct	I-Gene_or_gene_product
alpha	NN	dobj	I-Gene_or_gene_product
with	IN	case	O
a	DT	det	O
wide	JJ	amod	O
variety	NN	nmod	O
of	IN	case	O
autoimmune	JJ	amod	O
diseases	NNS	nmod	O
,	,	punct	O
including	VBG	case	O
psoriasis	NN	nmod	O
,	,	punct	O
inflammatory	JJ	amod	O
bowel	NN	compound	B-Organ
disease	NN	conj	O
,	,	punct	O
rheumatoid	JJ	amod	O
arthritis	NN	conj	O
,	,	punct	O
systemic	JJ	amod	O
sclerosis	NN	conj	O
,	,	punct	O
systemic	JJ	amod	O
lupus	NN	compound	O
erythematosus	NN	conj	O
,	,	punct	O
multiple	JJ	amod	O
sclerosis	NN	conj	O
,	,	punct	O
diabetes	NNS	conj	O
and	CC	cc	O
ankylosing	VBG	conj	O
spondylitis	NN	dobj	O
.	.	punct	O

Mutations	NNS	nsubj	O
affecting	VBG	acl	O
nuclear	JJ	amod	B-Cellular_component
transport	NN	dobj	O
were	VBD	cop	O
far	RB	advmod	O
more	RBR	advmod	O
critical	JJ	ROOT	O
for	IN	case	O
the	DT	det	O
ability	NN	nmod	O
to	TO	mark	O
interfere	VB	acl	O
with	IN	case	O
myogenic	JJ	amod	O
differentiation	NN	nmod	O
than	IN	mark	O
were	VBD	cop	O
those	DT	advcl	O
affecting	VBG	acl	O
the	DT	det	O
transforming	VBG	amod	O
potential	NN	dobj	O
;	:	punct	O
cytoplasmic	JJ	amod	B-Organism_substance
SVLT	NN	compound	B-Gene_or_gene_product
expression	NN	nsubj	O
was	VBD	cop	O
fully	RB	advmod	O
compatible	JJ	parataxis	O
with	IN	case	O
the	DT	det	O
terminal	JJ	amod	O
differentiation	NN	nmod	O
of	IN	case	O
C2	NN	compound	B-Cell
cells	NNS	nmod	I-Cell
,	,	punct	O
despite	IN	mark	O
enabling	VBG	advcl	O
them	PRP	dobj	O
to	TO	aux	O
grow	VB	xcomp	O
in	IN	prep	O
semisolid	JJ	amod	O
medium	NN	pobj	O
,	,	punct	O
thus	RB	advmod	O
showing	VBG	xcomp	O
that	IN	mark	O
the	DT	det	O
myogenesis	NN	npadvmod	O
-	HYPH	punct	O
inhibiting	VBG	amod	O
property	NN	nsubjpass	O
can	MD	aux	O
be	VB	auxpass	O
dissociated	VBN	ccomp	O
from	IN	case	O
transforming	VBG	amod	O
competence	NN	nmod	O
.	.	punct	O

Bmi	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
1	CD	nummod	I-Gene_or_gene_product
transgenic	JJ	amod	O
mice	NNS	nsubjpass	B-Organism
were	VBD	auxpass	O
born	VBN	ROOT	O
with	IN	case	O
enlarged	JJ	amod	O
lateral	JJ	amod	B-Multi-tissue_structure
ventricles	NNS	nmod	I-Multi-tissue_structure
and	CC	cc	O
a	DT	det	O
minority	NN	conj	O
developed	VBD	conj	O
idiopathic	JJ	amod	O
hydrocephalus	NN	advmod	O
as	IN	case	O
adults	NNS	nmod	O
,	,	punct	O
