It	PRP	nsubjpass	O
is	VBZ	auxpass	O
synthesised	VBN	ROOT	O
and	CC	cc	O
secreted	VBN	conj	O
by	IN	case	O
the	DT	det	O
ciliary	JJ	amod	B-Tissue
body	NN	compound	I-Tissue
epithelium	NN	nmod	I-Tissue
(	-LRB-	punct	O
CBE	NN	appos	B-Tissue
)	-RRB-	punct	O
from	IN	case	O
the	DT	det	O
initiation	NN	nmod	O
of	IN	case	O
CBE	NN	compound	B-Tissue
development	NN	nmod	O
in	IN	case	O
the	DT	det	O
embryo	NN	nmod	B-Developing_anatomical_structure
,	,	punct	O
and	CC	cc	O
production	NN	nsubj	O
continues	VBZ	conj	O
throughout	IN	prep	O
life	NN	pobj	O
.	.	punct	O

Neuroblastoma	NN	nsubjpass	B-Cancer
is	VBZ	auxpass	O
derived	VBN	ROOT	O
from	IN	case	O
SNS	NN	compound	B-Developing_anatomical_structure
precursors	NNS	nmod	I-Developing_anatomical_structure
.	.	punct	O

In	IN	case	O
transgenic	JJ	amod	O
embryos	NNS	nmod	B-Developing_anatomical_structure
,	,	punct	O
RPE	NN	compound	B-Cell
cells	NNS	nsubj	I-Cell
proliferated	VBN	ROOT	O
in	IN	case	O
the	DT	det	O
anterior	JJ	amod	B-Multi-tissue_structure
part	NN	nmod	I-Multi-tissue_structure
of	IN	case	O
the	DT	det	O
eye	NN	nmod	B-Organ
and	CC	cc	O
near	IN	conj	O
the	DT	det	O
optic	JJ	amod	B-Multi-tissue_structure
nerve	NN	pobj	I-Multi-tissue_structure
.	.	punct	O

Brick1	NN	nsubj	B-Gene_or_gene_product
is	VBZ	cop	O
an	DT	det	O
essential	JJ	amod	O
regulator	NN	ROOT	O
of	IN	case	O
actin	NN	compound	B-Gene_or_gene_product
cytoskeleton	NN	nmod	B-Cellular_component
required	VBN	acl	O
for	IN	case	O
embryonic	JJ	amod	B-Developing_anatomical_structure
development	NN	nmod	O
and	CC	cc	O
cell	NN	compound	B-Cell
transformation	NN	conj	O
.	.	punct	O

Converging	VBG	amod	O
studies	NNS	nsubj	O
from	IN	case	O
many	JJ	amod	O
investigators	NNS	nmod	O
indicate	VBP	ROOT	O
that	IN	mark	O
RUNX1	NN	nsubj	B-Gene_or_gene_product
has	VBZ	ccomp	O
a	DT	det	O
critical	JJ	amod	O
role	NN	dobj	O
in	IN	case	O
the	DT	det	O
correct	JJ	amod	O
maintenance	NN	nmod	O
of	IN	case	O
essential	JJ	amod	O
cellular	JJ	amod	B-Cell
functions	NNS	nmod	O
during	IN	case	O
embryonic	JJ	amod	B-Developing_anatomical_structure
development	NN	nmod	O
and	CC	cc	O
after	IN	case	O
birth	NN	conj	O
.	.	punct	O

HIFs	NNS	nsubjpass	B-Gene_or_gene_product
are	VBP	auxpass	O
also	RB	advmod	O
expressed	VBN	ROOT	O
during	IN	case	O
normal	JJ	amod	O
development	NN	nmod	O
;	:	punct	O
for	IN	case	O
example	NN	nmod	O
,	,	punct	O
HIF	NN	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
2alpha	NN	nsubjpass	I-Gene_or_gene_product
is	VBZ	auxpass	O
specifically	RB	advmod	O
expressed	VBN	parataxis	O
and	CC	cc	O
appears	VBZ	conj	O
to	TO	mark	O
be	VB	auxpass	O
involved	VBN	xcomp	O
in	IN	case	O
the	DT	det	O
development	NN	nmod	O
of	IN	case	O
the	DT	det	O
murine	JJ	amod	B-Organism
sympathetic	JJ	amod	B-Anatomical_system
nervous	JJ	amod	I-Anatomical_system
system	NN	nmod	I-Anatomical_system
(	-LRB-	punct	O
SNS	NN	appos	B-Anatomical_system
)	-RRB-	punct	O
.	.	punct	O

To	TO	mark	O
identify	VB	advcl	O
a	DT	det	O
suitable	JJ	amod	O
donor	NN	compound	B-Cell
cell	NN	compound	I-Cell
population	NN	dobj	I-Cell
for	IN	case	O
gene	NN	compound	O
therapy	NN	compound	O
applications	NNS	nmod	O
to	TO	case	O
the	DT	det	O
central	JJ	amod	B-Anatomical_system
nervous	JJ	amod	I-Anatomical_system
system	NN	nmod	I-Anatomical_system
,	,	punct	O
primary	JJ	amod	O
fibroblasts	NNS	nsubjpass	B-Cell
isolated	VBN	acl	O
from	IN	case	O
skin	NN	compound	B-Multi-tissue_structure
biopsies	NNS	nmod	I-Multi-tissue_structure
and	CC	cc	O
maintained	VBN	conj	O
in	IN	case	O
culture	NN	nmod	B-Cell
are	VBP	auxpass	O
employed	VBN	ROOT	O
as	IN	case	O
autologous	JJ	amod	O
cells	NNS	nmod	B-Cell
for	IN	case	O
intracerebral	JJ	amod	B-Immaterial_anatomical_entity
grafting	VBG	nmod	O
within	IN	case	O
the	DT	det	O
adult	JJ	amod	O
rat	NN	compound	B-Organism
striatum	NN	nmod	B-Multi-tissue_structure
.	.	punct	O

This	DT	det	O
review	NN	nsubj	O
will	MD	aux	O
discuss	VB	ROOT	O
the	DT	det	O
regulation	NN	dobj	O
of	IN	case	O
expression	NN	nmod	O
of	IN	case	O
IGF	NNP	compound	B-Gene_or_gene_product
-	SYM	punct	I-Gene_or_gene_product
1	CD	nummod	I-Gene_or_gene_product
,	,	punct	O
IGF	NNP	compound	B-Gene_or_gene_product
-	HYPH	punct	I-Gene_or_gene_product
1R	NN	nmod	I-Gene_or_gene_product
,	,	punct	O
and	CC	cc	O
IGF	NN	compound	B-Gene_or_gene_product
binding	NN	compound	I-Gene_or_gene_product
proteins	NNS	conj	I-Gene_or_gene_product
in	IN	case	O
the	DT	det	O
vasculature	NN	nmod	B-Anatomical_system
and	CC	cc	O
summarize	VB	conj	O
evidence	NN	dep	O
implicating	VBG	acl	O
involvement	NN	dobj	O
of	IN	case	O
this	DT	det	O
system	NN	nmod	O
in	IN	case	O
vascular	JJ	amod	B-Multi-tissue_structure
diseases	NNS	nmod	O
.	.	punct	O

We	PRP	nsubj	O
have	VBP	aux	O
reported	VBN	ROOT	O
important	JJ	amod	O
benefits	NNS	dobj	O
and	CC	cc	O
survival	NN	conj	O
with	IN	case	O
an	DT	det	O
immunotherapy	NN	compound	O
schedule	NN	nmod	O
in	IN	case	O
patients	NNS	nmod	B-Organism
with	IN	case	O
endocrine	JJ	nmod:npmod	B-Anatomical_system
-	HYPH	punct	O
dependent	JJ	amod	O
breast	NN	compound	B-Cancer
cancer	NN	nmod	I-Cancer
and	CC	cc	O
distant	JJ	amod	O
metastases	NNS	conj	O
.	.	punct	O

Upon	IN	case	O
investigation	NN	nmod	O
,	,	punct	O
intrachromosomal	JJ	amod	B-Cellular_component
gene	NN	compound	O
amplification	NN	appos	O
of	IN	case	O
Met	NN	nmod	B-Gene_or_gene_product
,	,	punct	O
a	DT	det	O
receptor	NN	compound	O
tyrosine	NN	compound	B-Amino_acid
kinase	NN	appos	O
implicated	VBN	acl	O
in	IN	case	O
melanoma	NN	compound	B-Cancer
progression	NN	nmod	O
,	,	punct	O
was	VBD	auxpass	O
identified	VBN	ROOT	O
in	IN	case	O
Cdkn2a	JJ	nmod:npmod	B-Gene_or_gene_product
-	HYPH	punct	O
deficient	JJ	amod	O
tumors	NNS	nmod	O
.	.	punct	O

Additionally	RB	advmod	O
,	,	punct	O
bolus	NN	compound	O
(	-LRB-	punct	O
3h	NN	compound	O
)	-RRB-	punct	O
doxorubicin	NN	compound	B-Simple_chemical
incubation	NN	nsubj	O
led	VBD	ROOT	O
to	TO	case	O
phosphorylation	NN	nmod	O
of	IN	case	O
p53	NN	nmod	B-Gene_or_gene_product
at	IN	case	O
serine	NN	nmod	B-Amino_acid
392	CD	nummod	I-Amino_acid
,	,	punct	O
induction	NN	conj	O
of	IN	case	O
p21	NN	nmod	B-Gene_or_gene_product
,	,	punct	O
G2	NN	compound	O
arrest	NN	conj	O
and	CC	cc	O
increase	NN	conj	O
of	IN	case	O
proapoptotic	JJ	amod	O
protein	NN	compound	O
Bax	NN	nmod	B-Gene_or_gene_product
.	.	punct	O

The	DT	det	O
glucose	NN	compound	B-Simple_chemical
turnover	NN	compound	O
rate	NN	nsubj	O
was	VBD	cop	O
significantly	RB	advmod	O
greater	JJR	ROOT	O
in	IN	case	O
TB	NN	nmod	O
compared	VBN	case	O
with	IN	case	O
NTB	NN	compound	O
animals	NNS	advcl	O
,	,	punct	O
as	IN	mark	O
was	VBD	cop	O
the	DT	det	O
rate	NN	advcl	O
of	IN	case	O
glucose	NN	compound	B-Simple_chemical
recycling	NN	nmod	O
and	CC	cc	O
the	DT	det	O
rate	NN	conj	O
