Amino_acid	amino acid
Anatomical_system	anatomical system
Cancer	cancer
Cell	cell
Cellular_component	cellular component
Developing_anatomical_structure	developing anatomical structure
Gene_or_gene_product	gene or gene product
Immaterial_anatomical_entity	immaterial anatomical entity
Multi-tissue_structure	multi-tissue structure
Organ	organ
Organism	organism
Organism_subdivision	organism subdivision
Organism_substance	organism substance
Pathological_formation	pathological formation
Simple_chemical	simple chemical
Tissue	tissue
