Attendance	NN	ROOT	O
:	:	punct	O
1,800	CD	appos	O

Ties	NNPS	nsubj	O
between	IN	prep	O
the	DT	det	O
two	CD	nummod	O
neighbours	NNS	pobj	O
,	,	punct	O
strained	VBD	ROOT	O
also	RB	advmod	O
over	IN	prep	O
a	DT	det	O
military	JJ	amod	O
accord	NN	pobj	O
between	IN	prep	O
Turkey	NNP	pobj	B-LOC
and	CC	cc	O
Israel	NNP	conj	B-LOC
which	WDT	nsubj	O
drew	VBD	relcl	O
strong	JJ	amod	O
Iranian	JJ	amod	B-MISC
objections	NNS	dobj	O
,	,	punct	O
have	VBP	aux	O
improved	VBN	conj	O
since	IN	mark	O
Islamist	NNP	compound	B-MISC
Necmettin	NNP	compound	B-PER
Erbakan	NNP	nsubj	I-PER
took	VBD	advcl	O
over	RP	prt	O
as	IN	prep	O
Turkish	JJ	amod	B-MISC
prime	JJ	compound	O
minister	NN	pobj	O
in	IN	prep	O
June	NNP	pobj	O
.	.	punct	O

The	DT	det	O
winner	NN	nsubj	O
has	VBZ	ROOT	O
to	TO	aux	O
secure	VB	xcomp	O
a	DT	det	O
majority	NN	dobj	O
from	IN	prep	O
the	DT	det	O
college	NN	pobj	O
within	IN	prep	O
two	CD	nummod	O
rounds	NNS	pobj	O
of	IN	prep	O
voting	NN	pobj	O
otherwise	RB	advmod	O
the	DT	det	O
election	NN	nsubj	O
will	MD	aux	O
go	VB	conj	O
back	RB	advmod	O
before	IN	prep	O
the	DT	det	O
parliament	NN	pobj	O
.	.	punct	O

LIBERIA	NNP	ROOT	B-LOC
,	,	punct	O
Costa	NNP	compound	B-LOC
Rica	NNP	compound	I-LOC
1996-08-26	CD	npadvmod	O

1.	CD	meta	O
Sorensen	NNP	ROOT	B-PER
11.20:33	CD	npadvmod	O

9.	CD	meta	O
Akira	NNP	compound	B-PER
Ryo	NNP	nmod	I-PER
(	(	punct	O
Japan	NNP	appos	B-LOC
)	)	punct	O
Kawasaki	NNP	ROOT	B-ORG
38:50.269	NNP	nummod	O

Six	CD	nummod	O
months	NNS	ROOT	O
to	TO	prep	O
September	NNP	pobj	O
30	CD	nummod	O
,	,	punct	O
1996	CD	nummod	O

P1020	NNP	nsubj	O
ingot	NN	ROOT	O
75	CD	nummod	O
cents	NNS	npadvmod	O
/	SYM	punct	O
pound	NN	appos	O

Sale	NNP	compound	O
Amount	NNP	ROOT	O
:	:	punct	O
4,300,000	CD	appos	O

The	DT	det	O
use	NN	nsubjpass	O
of	IN	prep	O
riverways	NNS	pobj	O
in	IN	prep	O
the	DT	det	O
region	NN	pobj	O
has	VBZ	aux	O
been	VBN	auxpass	O
made	VBN	ccomp	O
a	DT	det	O
priority	NN	oprd	O
under	IN	prep	O
a	DT	det	O
government	NN	compound	O
plan	NN	pobj	O
for	IN	prep	O
the	DT	det	O
Amazon	NNP	pobj	B-LOC
and	CC	cc	O
the	DT	det	O
high-speed	JJ	amod	O
hovercraft	NN	conj	O
will	MD	aux	O
help	VB	conj	O
reduce	VB	xcomp	O
the	DT	det	O
time	NN	dobj	O
involved	VBN	acl	O
in	IN	prep	O
travelling	VBG	pcomp	O
often	RB	advmod	O
massive	JJ	amod	O
distances	NNS	dobj	O
,	,	punct	O
it	PRP	nsubj	O
said	VBD	ROOT	O
.	.	punct	O

Els	NNP	compound	B-PER
Callens	NNP	nsubj	I-PER
(	(	punct	O
Belgium	NNP	appos	B-LOC
)	)	punct	O
beat	VB	ROOT	O
Annabel	NNP	compound	B-PER
Ellwood	NNP	dobj	I-PER
(	(	punct	O
Australia	NNP	appos	B-LOC
)	)	punct	O
6-4	CD	ROOT	O

A	DT	det	O
small	JJ	amod	O
bottle	NN	nsubj	O
of	IN	prep	O
a	DT	det	O
garishly-coloured	JJ	amod	O
sports	NNS	compound	O
drink	VBP	pobj	O
at	IN	prep	O
the	DT	det	O
sun-drenched	JJ	amod	O
