Borussia	NNP	compound	B-ORG
Moenchengladbach	NNP	ROOT	I-ORG
4	CD	nummod	O
0	CD	punct	O
2	CD	nummod	O
2	CD	nummod	O
1	CD	nummod	O
4	CD	nummod	O
2	CD	nummod	O

"	"	punct	O
We	PRP	nsubj	O
've	VBP	aux	O
been	VBN	aux	O
working	VBG	ccomp	O
all	DT	det	O
year	NN	npadvmod	O
on	IN	prep	O
my	PRP$	poss	O
follow-through	JJ	pobj	O
,	,	punct	O
and	CC	cc	O
I	PRP	nsubj	O
really	RB	advmod	O
concentrated	JJ	conj	O
on	IN	prep	O
that	DT	pobj	O
,	,	punct	O
"	"	punct	O
VanLandingham	NNP	nsubj	B-PER
said	VBD	ROOT	O
.	.	punct	O
"	"	punct	O

4-1/2	CD	nummod	O
Apr	RB	nmod	O
2006	CD	nummod	O
bond	NN	ROOT	O
101.80	CD	nummod	O
/	SYM	punct	O
90	CD	nummod	O
yield	NN	appos	O
4.252	CD	nummod	O
pct	NN	appos	O

--	:	ROOT	O
Damien	NNP	compound	B-PER
Lynch	NNP	pobj	I-PER
,	,	punct	O
Dublin	NNP	compound	B-ORG
Newsroom	NNP	appos	I-ORG
+353	CD	ROOT	O
1	CD	nummod	O
6603377	CD	nummod	O

52	LS	meta	O
)	)	punct	O
v	JJ	ROOT	O
Worcestershire	NNP	pobj	B-ORG
.	.	punct	O

Tarango	NNP	nsubj	B-PER
was	VBD	aux	O
leading	VBG	ROOT	O
6-7	JJ	npadvmod	O
(	(	punct	O
5-7	CD	appos	O
)	)	punct	O
6-4	CD	compound	O
6-1	JJ	ROOT	O
3-1	CD	npadvmod	O
.	.	punct	O

Julie	NNP	compound	B-PER
Lejeune	NNP	nsubjpass	I-PER
and	CC	cc	O
Melissa	NNP	compound	B-PER
Russo	NNP	conj	I-PER
,	,	punct	O
had	VBD	aux	O
been	VBN	auxpass	O
kidnapped	VBN	ROOT	O
in	IN	prep	O
June	NNP	pobj	O
last	JJ	amod	O
year	NN	npadvmod	O
.	.	punct	O

Guillaume	NNP	compound	B-PER
Raoux	NNP	ROOT	I-PER
(	(	punct	O
France	NNP	appos	B-LOC
)	)	punct	O
vs.	IN	prep	O
Filip	NNP	compound	B-PER
Dewulf	NNP	pobj	I-PER
(	(	punct	O
Belgium	NNP	appos	B-LOC
)	)	punct	O

With	IN	prep	O
one	CD	pobj	O
out	IN	prep	O
in	IN	prep	O
the	DT	det	O
fifth	JJ	amod	O
Ken	NNP	compound	B-PER
Griffey	NNP	compound	I-PER
Jr	NNP	nmod	I-PER
and	CC	cc	O
Edgar	NNP	conj	B-PER
Martinez	NNP	pobj	I-PER
stroked	VBD	ROOT	O
back-to-back	JJ	compound	O
singles	NNS	dobj	O
off	IN	prep	O
Orioles	NNP	compound	B-ORG
starter	NN	compound	O
Rocky	NNP	compound	B-PER
Coppinger	NNP	pobj	I-PER
(	(	punct	O
7-5	CD	appos	O
)	)	punct	O
and	CC	cc	O
Jay	NNP	compound	B-PER
Buhner	NNP	nsubj	I-PER
walked	VBD	conj	O
.	.	punct	O

The	DT	det	O
brake	NN	compound	O
action	NN	nsubj	O
is	VBZ	ROOT	O
very	RB	advmod	O
poor	JJ	acomp	O
and	CC	cc	O
the	DT	det	O
tower	NN	nsubj	O
said	VBD	conj	O
it	PRP	nsubj	O
's	VBZ	ccomp	O
medium	NN	acomp	O
.	.	punct	O

I	PRP	nsubj	O
was	VBD	aux	O
just	RB	advmod	O
trying	VBG	ROOT	O
to	TO	aux	O
put	VB	xcomp	O
the	DT	det	O
ball	NN	dobj	O
in	IN	prep	O
play	NN	pobj	O
.	.	punct	O

SOCCER	NN	amod	O
-	:	punct	O
THREE	CD	compound	O
PULL	NNP	ROOT	O
OUT	NNP	prep	O
OF	IN	prep	O
