Regulation	NN	ROOT	O
of	IN	case	O
the	DT	det	O
BZLF1	NN	compound	B-DNA
promoter	NN	nmod	I-DNA
of	IN	case	O
Epstein-Barr	JJ	amod	O
virus	NN	nmod	O
by	IN	case	O
second	JJ	amod	O
messengers	NNS	nmod	O
in	IN	case	O
anti-immunoglobulin-treated	JJ	amod	B-cell_line
B	NN	compound	I-cell_line
cells	NNS	nmod	I-cell_line
.	.	punct	O

In	IN	case	O
addition	NN	nmod	O
to	TO	case	O
SP100	NN	compound	B-DNA
homology	NN	compound	I-DNA
regions	NNS	nmod	I-DNA
,	,	punct	O
one	CD	nummod	O
LYSP100	NN	compound	B-DNA
cDNA	NN	compound	I-DNA
isoform	NN	nsubj	I-DNA
contains	VBZ	ROOT	O
a	DT	det	O
bromodomain	NN	dobj	B-protein
and	CC	cc	O
a	DT	det	O
PHD/TTC	NN	compound	B-protein
domain	NN	conj	I-protein
,	,	punct	O
which	WDT	nsubj	O
are	VBP	cop	O
present	JJ	acl:relcl	O
in	IN	case	O
a	DT	det	O
variety	NN	nmod	O
of	IN	case	O
transcriptional	JJ	amod	B-protein
regulatory	JJ	amod	I-protein
proteins	NNS	nmod	I-protein
.	.	punct	O

For	IN	prep	O
that	DT	det	O
purpose	NN	pobj	O
,	,	punct	O
we	PRP	nsubj	O
established	VBD	ROOT	O
several	JJ	amod	O
lines	NNS	dobj	O
of	IN	case	O
transgenic	JJ	amod	O
mice	NNS	nmod	O
displaying	VBG	acl	O
erythroid-specific	JJ	amod	O
expression	NN	dobj	O
of	IN	case	O
a	DT	det	O
thermosensitive	JJ	amod	B-protein
SV40	NN	compound	I-protein
T	NN	compound	I-protein
antigen	NN	nmod	I-protein
.	.	punct	O

In	IN	case	O
contrast	NN	nmod	O
,	,	punct	O
mutation	NN	nsubj	O
of	IN	case	O
the	DT	det	O
kappa	NN	compound	B-protein
B	NN	compound	I-protein
enhancer	NN	nmod	I-protein
results	VBZ	ROOT	O
in	IN	case	O
markedly	RB	advmod	O
attenuated	VBN	amod	O
activities	NNS	nmod	O
of	IN	case	O
both	DT	det	O
promoters	NNS	nmod	B-DNA
.	.	punct	O

In	IN	case	O
summary	NN	nmod	O
,	,	punct	O
the	DT	det	O
constitutive	JJ	amod	O
serine	NN	compound	O
phosphorylation	NN	nsubj	O
of	IN	case	O
STAT1	NN	nmod	B-protein
and	CC	cc	O
STAT3	NN	conj	B-protein
is	VBZ	cop	O
present	JJ	ROOT	O
in	IN	case	O
all	DT	det	O
CLL	NN	compound	O
samples	NNS	nmod	O
tested	VBN	acl	O
to	TO	case	O
date	NN	nmod	O
,	,	punct	O
although	IN	mark	O
the	DT	det	O
physiologic	JJ	amod	O
significance	NN	nsubj	O
of	IN	case	O
this	DT	det	O
modification	NN	nmod	O
remains	VBZ	advcl	O
to	TO	mark	O
be	VB	auxpass	O
determined	VBN	xcomp	O
.	.	punct	O

HS	NN	nsubj	B-DNA
II	CD	nummod	I-DNA
was	VBD	cop	O
weak	JJ	ROOT	O
in	IN	case	O
hematopoietic	JJ	amod	B-cell_line
cell	NN	compound	I-cell_line
lines	NNS	nmod	I-cell_line
,	,	punct	O
absent	JJ	advcl	O
in	IN	case	O
Hela	NNP	nmod	B-cell_line
,	,	punct	O
and	CC	cc	O
greatly	RB	advmod	O
enhanced	VBN	conj	O
in	IN	case	O
Jurkat	NN	nmod	B-cell_line
,	,	punct	O
suggesting	VBG	advcl	O
that	IN	mark	O
this	DT	det	O
region	NN	nsubjpass	O
might	MD	aux	O
be	VB	auxpass	O
implicated	VBN	ccomp	O
in	IN	case	O
the	DT	det	O
cis-activation	NN	nmod	O
of	IN	case	O
tal-1	NN	compound	B-DNA
promoter	NN	compound	I-DNA
1b	NN	nmod	I-DNA
in	IN	case	O
this	DT	det	O
cell	NN	compound	O
line	NN	nmod	O
.	.	punct	O

Here	RB	advmod	O
we	PRP	nsubj	O
identified	VBD	ROOT	O
an	DT	det	O
inducible	JJ	amod	O
T	NN	nmod:npmod	B-DNA
cell-specific	JJ	amod	I-DNA
enhancer	NN	dobj	I-DNA
14	CD	nummod	O
kb	NN	nmod:npmod	O
upstream	RB	amod	O
of	IN	case	O
the	DT	det	O
IL-3	NN	compound	B-DNA
gene	NN	nmod	I-DNA
that	WDT	nsubj	O
responded	VBD	acl:relcl	O
to	TO	case	O
activation	NN	nmod	O
of	IN	case	O
T	NN	compound	B-protein
cell	NN	compound	I-protein
receptor	NN	compound	I-protein
signaling	NN	compound	O
pathways	NNS	nmod	O
.	.	punct	O

Th1	NN	nmod:npmod	O
cell-mediated	JJ	amod	O
immune	JJ	amod	O
responses	NNS	nsubjpass	O
have	VBP	aux	O
been	VBN	auxpass	O
implicated	VBN	ROOT	O
in	IN	case	O
the	DT	det	O
pathogenesis	NN	nmod	O
of	IN	case	O
chronic	JJ	amod	O
inflammatory	JJ	amod	O
autoimmune	JJ	amod	O
diseases	NNS	nmod	O
.	.	punct	O

Both	DT	det	O
conditions	NNS	nsubjpass	O
are	VBP	auxpass	O
promoted	VBN	ROOT	O
by	IN	case	O
lysophosphatidylcholine	NN	nmod	O
(	-LRB-	punct	O
lysoPC	NN	appos	O
)	-RRB-	punct	O
.	.	punct	O

A	DT	det	O
missense	NN	compound	O
mutation	NN	nsubjpass	O
in	IN	case	O
the	DT	det	O
region	NN	nmod	O
coding	VBG	acl	O
for	IN	case	O
the	DT	det	O
cytoplasmic	JJ	amod	O
portion	NN	nmod	O
of	IN	case	O
the	DT	det	O
gamma	NN	compound	B-DNA
c	NN	compound	I-DNA
gene	NN	nmod	I-DNA
was	VBD	auxpass	O
found	VBN	ROOT	O
in	IN	case	O
three	CD	nummod	O
affected	VBN	amod	O
males	NNS	nmod	O
but	CC	cc	O
not	RB	neg	O
in	IN	case	O
a	DT	det	O
normal	JJ	amod	O
brother	NN	conj	O
.	.	punct	O

None	NN	nsubj	O
of	IN	case	O
the	DT	det	O
constructs	NNS	nmod	O
influenced	VBD	ROOT	O
the	DT	det	O
anti-CD3-induced	JJ	amod	O
tyrosine	NN	compound	O
phosphorylation	NN	dobj	O
of	IN	case	O
the	DT	dep	O
TCR	NN	compound	B-protein
zeta-chain	NN	nmod	I-protein
or	CC	cc	O
phospholipase	NN	compound	B-protein
Cgamma1	NN	conj	I-protein
,	,	punct	O
indicating	VBG	advcl	O
that	IN	mark	O
Src	NN	compound	B-protein
family	NN	compound	I-protein
kinase	NN	compound	I-protein
function	NN	nsubj	O
was	VBD	cop	O
intact	JJ	ccomp	O
.	.	punct	O

Taken	VBN	advcl	O
together	RB	advmod	O
,	,	punct	O
these	DT	det	O
findings	NNS	nsubj	O
indicate	VBP	ROOT	O
that	IN	mark	O
the	DT	det	O
induction	NN	nsubjpass	O
of	IN	case	O
c-jun	NN	compound	B-DNA
transcription	NN	nmod	O
by	IN	case	O
okadaic	JJ	amod	O
acid	NN	nmod	O
is	VBZ	auxpass	O
controlled	VBN	ccomp	O
primarily	RB	advmod	O
by	IN	case	O
a	DT	det	O
transcriptional	JJ	amod	O
mechanism	NN	nmod	O
.	.	punct	O

Low	JJ	amod	O
levels	NNS	nsubj	O
of	IN	case	O
viral	JJ	amod	O
transcription	NN	nmod	O
(	-LRB-	punct	O
basal	JJ	amod	O
transcription	NN	appos	O
)	-RRB-	punct	O
occur	VBP	ROOT	O
before	IN	case	O
expression	NN	nmod	O
of	IN	case	O
the	DT	det	O
virally	RB	advmod	B-protein
encoded	VBN	amod	I-protein
Tax	NN	compound	I-protein
protein	NN	nmod	I-protein
(	-LRB-	punct	O
Tax	NN	compound	B-protein
-mediated	JJ	amod	O
transcription	NN	appos	O
)	-RRB-	punct	O
.	.	punct	O

The	DT	det	O
repetitive	JJ	amod	O
activation	NN	nsubj	O
of	IN	case	O
T	NN	compound	B-cell_type
cells	NNS	nmod	I-cell_type
(	-LRB-	punct	O
priming	NN	appos	O
)	-RRB-	punct	O
enhances	VBZ	ROOT	O
the	DT	det	O
expression	NN	dobj	O
of	IN	case	O
many	JJ	amod	O
cytokines	NNS	nmod	B-protein
,	,	punct	O
such	JJ	case	O
as	IN	mwe	O
IL-4	NN	nmod	O
,	,	punct	O
but	CC	cc	O
not	RB	cc	O
others	NNS	conj	O
,	,	punct	O
such	JJ	case	O
as	IN	mwe	O
IL-2	NN	nmod	B-protein
.	.	punct	O

The	DT	det	O
A-myb	NN	compound	B-DNA
gene	NN	nsubj	I-DNA
encodes	VBZ	ROOT	O
a	DT	det	O
transcription	NN	compound	B-protein
factor	NN	dobj	I-protein
that	WDT	nsubj	O
is	VBZ	cop	O
related	JJ	acl:relcl	O
both	CC	dep	O
functionally	RB	advmod	O
and	CC	cc	O
structurally	RB	advmod	O
to	TO	case	O
the	DT	det	O
v-myb	NN	compound	B-DNA
oncogene	NN	nmod	I-DNA
.	.	punct	O

These	DT	det	O
two	CD	nummod	O
types	NNS	nsubj	O
of	IN	case	O
estrogen	NN	compound	O
binding	NN	compound	O
sites	NNS	nmod	O
existed	VBD	ROOT	O
in	IN	case	O
human	JJ	amod	B-cell_type
peripheral	JJ	amod	I-cell_type
blood	NN	compound	I-cell_type
monocytes	NNS	nmod	I-cell_type
.	.	punct	O

These	DT	det	O
effects	NNS	nsubjpass	O
were	VBD	auxpass	O
characterized	VBN	ROOT	O
by	IN	case	O
a	DT	det	O
marked	JJ	amod	O
reduction	NN	nmod	O
in	IN	case	O
CD11b	NN	compound	B-protein
integrin	NN	compound	B-protein
expression	NN	nmod	O
on	IN	case	O
the	DT	det	O
surface	NN	nmod	O
of	IN	case	O
treated	VBN	amod	B-cell_line
cells	NNS	nmod	I-cell_line
.	.	punct	O

Although	IN	mark	O
IFN-gamma	NN	nsubj	B-protein
alone	RB	advmod	O
did	VBD	aux	O
not	RB	neg	O
induce	VB	advcl	O
CD23	NN	compound	B-RNA
mRNA	NN	compound	I-RNA
transcription	NN	dobj	O
,	,	punct	O
Northern	NN	compound	O
blot	NN	compound	O
analysis	NN	nsubj	O
revealed	VBD	ROOT	O
a	DT	det	O
transient	JJ	amod	O
up-regulation	NN	dobj	O
of	IN	case	O
the	DT	det	O
IL-4-induced	JJ	amod	B-RNA
CD23	NN	compound	I-RNA
mRNA	NN	nmod	I-RNA
by	IN	case	O
IFN-gamma	NN	nmod	B-protein
within	IN	case	O
2	CD	nummod	O
h	NN	nmod	O
of	IN	case	O
IFN-gamma	NN	compound	B-protein
treatment	NN	nmod	O
in	IN	case	O
these	DT	det	O
tonsillar	JJ	amod	B-cell_type
cells	NNS	nmod	I-cell_type
.	.	punct	O

The	DT	det	O
3H-thymidine	JJ	amod	O
uptake	NN	compound	O
procedure	NN	nsubjpass	O
was	VBD	auxpass	O
employed	VBN	ROOT	O
,	,	punct	O
incorporating	VBG	xcomp	O
multiple	JJ	amod	O
microbiological	JJ	amod	B-protein
antigens	NNS	dobj	I-protein
.	.	punct	O

One	CD	nummod	O
consequence	NN	nsubj	O
of	IN	case	O
MEF2C	NN	compound	B-protein
activation	NN	nmod	O
is	VBZ	cop	O
increased	VBN	amod	O
c-jun	NN	compound	B-DNA
gene	NN	compound	I-DNA
transcription	NN	ROOT	O
.	.	punct	O

The	DT	det	O
variability	NN	nsubj	O
of	IN	case	O
response	NN	nmod	O
even	RB	advmod	O
to	TO	case	O
the	DT	det	O
most	RBS	advmod	O
narrowly	RB	amod	O
targeted	VBN	amod	O
agents	NNS	nmod	O
suggests	VBZ	ROOT	O
that	IN	mark	O
these	DT	det	O
diseases	NNS	nsubj	O
are	VBP	cop	O
far	RB	advmod	O
more	RBR	advmod	O
heterogeneous	JJ	ccomp	O
in	IN	case	O
humans	NNS	nmod	O
than	IN	case	O
in	IN	case	O
their	PRP$	nmod:poss	O
murine	JJ	amod	O
counterparts	NNS	nmod	O
.	.	punct	O

Our	PRP$	nmod:poss	O
observations	NNS	nsubj	O
indicate	VBP	ROOT	O
that	IN	mark	O
changes	NNS	nsubj	O
in	IN	case	O
the	DT	det	O
intracellular	JJ	amod	O
redox	NN	compound	O
status	NN	nmod	O
may	MD	aux	O
be	VB	cop	O
a	DT	det	O
determining	VBG	amod	O
factor	NN	ccomp	O
in	IN	case	O
Tax	NN	compound	B-protein
-mediated	JJ	amod	O
DNA	NN	compound	O
damage	NN	nmod	O
,	,	punct	O
apoptosis	NN	conj	O
,	,	punct	O
and	CC	cc	O
selection	NN	conj	O
against	IN	case	O
the	DT	det	O
long-term	JJ	amod	O
expression	NN	nmod	O
of	IN	case	O
Tax	NN	compound	B-protein
function	NN	nmod	O
.	.	punct	O

Activation	NN	ROOT	O
of	IN	case	O
the	DT	det	O
NF-kappaB	NN	compound	B-protein
transcription	NN	compound	B-protein
factor	NN	nmod	I-protein
in	IN	case	O
a	DT	det	O
T-lymphocytic	JJ	amod	B-cell_line
cell	NN	compound	I-cell_line
line	NN	nmod	I-cell_line
by	IN	case	O
hypochlorous	JJ	amod	O
acid	NN	nmod	O
.	.	punct	O

To	TO	mark	O
investigate	VB	advcl	O
the	DT	det	O
potential	JJ	amod	O
relevance	NN	dobj	O
of	IN	case	O
this	DT	det	O
mechanism	NN	nmod	O
in	IN	case	O
acute	JJ	amod	O
myocardial	JJ	amod	O
infarction	NN	nmod	O
(	-LRB-	punct	O
AMI	NN	appos	O
)	-RRB-	punct	O
,	,	punct	O
we	PRP	nsubj	O
examined	VBD	ROOT	O
cytokine	NN	compound	B-protein
induction	NN	dobj	O
by	IN	case	O
leukocyte-platelet	JJ	amod	O
adhesion	NN	nmod	O
and	CC	cc	O
the	DT	det	O
occurrence	NN	conj	O
of	IN	case	O
leukocyte-platelet	JJ	amod	O
conjugates	NNS	nmod	O
in	IN	case	O
patients	NNS	nmod	O
with	IN	case	O
AMI	NN	nmod	O
.	.	punct	O

We	PRP	nsubj	O
conclude	VBP	ROOT	O
that	IN	mark	O
VDR	NN	compound	B-protein
polymorphism	NN	nsubj	O
does	VBZ	aux	O
not	RB	neg	O
affect	VB	ccomp	O
the	DT	det	O
abundance	NN	dobj	O
of	IN	case	O
the	DT	det	O
VDR	NN	compound	B-RNA
mRNA	NN	nmod	I-RNA
.	.	punct	O

Several	JJ	amod	O
lipoproteins	NNS	nsubj	O
stimulated	VBD	ROOT	O
TLR-dependent	JJ	amod	O
transcription	NN	dobj	O
of	IN	case	O
inducible	JJ	amod	O
nitric	JJ	amod	B-protein
oxide	NN	compound	I-protein
synthase	NN	nmod	I-protein
and	CC	cc	O
the	DT	det	O
production	NN	conj	O
of	IN	case	O
nitric	JJ	amod	O
oxide	NN	nmod	O
,	,	punct	O
a	DT	det	O
powerful	JJ	amod	O
microbicidal	JJ	compound	O
pathway	NN	appos	O
.	.	punct	O

LysoPC	NN	nsubj	O
inhibited	VBD	ROOT	O
the	DT	det	O
TF	NN	compound	O
activity	NN	dobj	O
of	IN	case	O
Mono	NN	compound	B-cell_line
Mac-6	NN	compound	I-cell_line
cells	NNS	nmod	I-cell_line
to	TO	case	O
a	DT	det	O
similar	JJ	amod	O
extent	NN	nmod	O
as	IN	case	O
in	IN	case	O
the	DT	det	O
monocytes	NNS	nmod	B-cell_type
.	.	punct	O

The	DT	det	O
replicative	JJ	amod	O
form	NN	nsubjpass	O
of	IN	case	O
Epstein-Barr	JJ	amod	O
virus	NN	compound	O
(	-LRB-	punct	O
EBV	NN	appos	O
)	-RRB-	punct	O
DNA	NN	nmod	O
was	VBD	auxpass	O
studied	VBN	ROOT	O
using	VBG	xcomp	O
two	CD	nummod	O
lymphoblastoid	JJ	amod	B-cell_line
cell	NN	compound	I-cell_line
lines	NNS	dobj	I-cell_line
,	,	punct	O
X50-7	NN	appos	O
and	CC	cc	O
6F11	NN	conj	O
,	,	punct	O
which	WDT	nsubjpass	O
are	VBP	auxpass	O
latently	RB	advmod	O
infected	VBN	acl:relcl	O
by	IN	case	O
Epstein-Barr	JJ	amod	O
virus	NN	nmod	O
.	.	punct	O

Mutation	NN	compound	O
analysis	NN	nsubj	O
demonstrated	VBD	ROOT	O
that	IN	mark	O
binding	NN	nsubj	O
of	IN	case	O
the	DT	det	O
inducible	JJ	amod	O
factor	NN	nmod	O
to	TO	case	O
the	DT	det	O
-120	CD	nummod	B-DNA
region	NN	nmod	I-DNA
is	VBZ	cop	O
crucial	JJ	ccomp	O
for	IN	case	O
the	DT	det	O
biological	JJ	amod	O
function	NN	nmod	O
of	IN	case	O
the	DT	det	O
CD95L	NN	compound	B-DNA
promoter	NN	nmod	I-DNA
upon	IN	case	O
T	NN	compound	O
cell	NN	compound	O
stimulation	NN	nmod	O
.	.	punct	O

Taken	VBN	advcl	O
together	RB	advmod	O
,	,	punct	O
our	PRP$	nmod:poss	O
findings	NNS	nsubj	O
indicate	VBP	ROOT	O
that	IN	mark	O
IL-2	NN	nsubj	B-protein
induces	VBZ	ccomp	O
gene	NN	compound	O
expression	NN	dobj	O
of	IN	case	O
M-CSF	NN	nmod	B-protein
in	IN	case	O
human	JJ	amod	B-cell_type
blood-derived	JJ	amod	I-cell_type
Mo	NN	nmod	I-cell_type
and	CC	cc	O
provide	VBP	conj	O
evidence	NN	dobj	O
for	IN	case	O
involvement	NN	nmod	O
of	IN	case	O
NF-kappa	NN	compound	B-protein
B	NN	nmod	I-protein
in	IN	case	O
transcriptional	JJ	amod	O
regulation	NN	nmod	O
of	IN	case	O
this	DT	det	O
gene	NN	nmod	O
.	.	punct	O

We	PRP	nsubj	O
propose	VBP	ROOT	O
a	DT	det	O
model	NN	dobj	O
in	IN	case	O
which	WDT	nmod	O
binding	NN	nsubj	O
of	IN	case	O
a	DT	det	O
myeloid-specific	JJ	amod	B-protein
factor	NN	nmod	I-protein
(	-LRB-	punct	O
PU.1	NN	appos	B-protein
)	-RRB-	punct	O
allows	VBZ	acl:relcl	O
a	DT	det	O
general	JJ	amod	O
factor	NN	dobj	O
(	-LRB-	punct	O
Sp1	NN	appos	B-protein
)	-RRB-	punct	O
to	TO	mark	O
bind	VB	xcomp	O
in	IN	case	O
a	DT	det	O
tissue-specific	JJ	amod	O
fashion	NN	nmod	O
thereby	RB	advmod	O
contributing	VBG	advcl	O
to	TO	case	O
the	DT	det	O
myeloid-specific	JJ	amod	O
expression	NN	nmod	O
of	IN	case	O
CD11b	NN	nmod	B-cell_line
.	.	punct	O

To	TO	mark	O
find	VB	advcl	O
new	JJ	amod	O
regulatory	JJ	amod	B-DNA
regions	NNS	dobj	I-DNA
of	IN	case	O
the	DT	det	O
IL-2R	NN	compound	B-DNA
alpha	NN	compound	I-DNA
gene	NN	nmod	I-DNA
,	,	punct	O
8.5	CD	nummod	O
kb	NN	nsubjpass	O
of	IN	case	O
the	DT	det	O
5	CD	nummod	O
'	''	punct	O
end	VB	compound	O
noncoding	JJ	compound	O
sequence	NN	nmod	O
of	IN	case	O
the	DT	det	O
IL-2R	NN	compound	B-DNA
alpha	NN	compound	I-DNA
gene	NN	nmod	I-DNA
have	VBP	aux	O
been	VBN	auxpass	O
sequenced	VBN	ROOT	O
.	.	punct	O

These	DT	det	O
biochemical	JJ	amod	O
findings	NNS	nsubj	O
correlate	VBP	ROOT	O
perfectly	RB	advmod	O
with	IN	case	O
the	DT	det	O
selective	JJ	amod	O
ability	NN	nmod	O
of	IN	case	O
c-ErbB	NN	nmod	B-protein
to	TO	mark	O
cause	VB	acl	O
sustained	JJ	amod	O
self	NN	compound	O
renewal	NN	dobj	O
in	IN	case	O
erythroid	JJ	amod	B-cell_type
progenitors	NNS	nmod	I-cell_type
.	.	punct	O

As	IN	case	O
a	DT	det	O
consequence	NN	nmod	O
,	,	punct	O
B-lymphoid	JJ	amod	O
tissues	NNS	nsubj	O
are	VBP	cop	O
mosaic	JJ	ROOT	O
with	IN	case	O
regard	NN	nmod	O
to	TO	case	O
the	DT	det	O
transcribed	VBN	amod	O
