Our	PRP$	nmod:poss	O
results	NNS	nsubj	O
suggest	VBP	ROOT	O
that	IN	mark	O
while	IN	mark	O
transfection	NN	compound	O
analyses	NNS	nsubj	O
offer	VBP	advcl	O
an	DT	det	O
adequate	JJ	amod	O
approximation	NN	dobj	O
of	IN	case	O
the	DT	det	O
effects	NNS	nmod	O
of	IN	case	O
the	DT	det	O
LS	NN	compound	O
mutations	NNS	nmod	O
,	,	punct	O
the	DT	det	O
analysis	NN	nsubj	O
of	IN	case	O
viral	JJ	amod	O
replication	NN	nmod	O
using	VBG	acl	O
a	DT	det	O
mutant	JJ	amod	O
viral	JJ	amod	O
stock	NN	dobj	O
presents	VBZ	ccomp	O
a	DT	det	O
more	RBR	advmod	O
accurate	JJ	amod	O
picture	NN	dobj	O
,	,	punct	O
which	WDT	nsubj	O
is	VBZ	cop	O
sometimes	RB	advmod	O
at	IN	case	O
variance	NN	acl:relcl	O
with	IN	case	O
the	DT	det	O
transfection	NN	compound	O
results	NNS	nmod	O
.	.	punct	O

The	DT	det	O
transcriptionally	RB	advmod	B-DNA
regulatory	JJ	amod	I-DNA
regions	NNS	nsubj	I-DNA
of	IN	case	O
the	DT	det	O
lymphomagenic	JJ	amod	O
Akv	NN	nmod	O
and	CC	cc	O
SL3-3	NN	conj	O
murine	JJ	amod	O
leukemia	NN	compound	O
retroviruses	NNS	conj	O
(	-LRB-	punct	O
MLVs	NNS	appos	O
)	-RRB-	punct	O
contain	VBP	ROOT	O
two	CD	nummod	O
types	NNS	dobj	O
of	IN	case	O
E-box	NN	compound	B-DNA
consensus	NN	compound	I-DNA
motifs	NNS	nmod	I-DNA
,	,	punct	O
CAGATG	NN	appos	O
.	.	punct	O

Previously	RB	advmod	O
,	,	punct	O
we	PRP	nsubj	O
and	CC	cc	O
others	NNS	conj	O
have	VBP	aux	O
demonstrated	VBN	ROOT	O
that	IN	mark	O
NF-kappa	NN	compound	B-protein
B	NN	nsubj	I-protein
regulates	VBZ	ccomp	O
the	DT	det	O
NF-kappa	NN	compound	B-DNA
B1	NN	compound	I-DNA
gene	NN	dobj	I-DNA
.	.	punct	O

We	PRP	nsubj	O
performed	VBD	ROOT	O
an	DT	det	O
analysis	NN	dobj	O
of	IN	case	O
the	DT	det	O
mechanisms	NNS	nmod	O
by	IN	case	O
which	WDT	nmod	O
two	CD	nummod	O
PKC	NN	compound	B-protein
inhibitors	NNS	nsubj	O
,	,	punct	O
Calphostin	NN	compound	O
C	NN	appos	O
and	CC	cc	O
Staurosporine	NN	conj	O
,	,	punct	O
prevent	VBP	acl:relcl	O
the	DT	det	O
FN	NN	compound	B-protein
-induced	JJ	amod	O
IL-1beta	NN	compound	B-protein
response	NN	dobj	O
.	.	punct	O

The	DT	det	O
HB9	NN	compound	B-DNA
homeodomain	NN	nsubj	I-DNA
is	VBZ	cop	O
most	RBS	advmod	O
similar	JJ	ROOT	O
to	TO	case	O
that	DT	nmod	O
of	IN	case	O
the	DT	det	O
Drosophila	FW	compound	B-DNA
melanogaster	FW	compound	I-DNA
homeobox	NN	compound	I-DNA
gene	NN	compound	I-DNA
proboscipedia	NN	nmod	B-DNA
.	.	punct	O

CD45	NN	compound	B-protein
-dependent	JJ	amod	O
events	NNS	nsubj	O
such	JJ	case	O
as	IN	mwe	O
tyrosine	NN	compound	B-protein
phosphorylation	NN	nmod	I-protein
of	IN	case	O
Shc	NN	nmod	B-protein
,	,	punct	O
activation	NN	conj	O
of	IN	case	O
nuclear	JJ	amod	B-protein
factor-kappa	NN	compound	I-protein
B	NN	nmod	I-protein
(	-LRB-	punct	O
NF-kappa	NN	compound	B-protein
B	NN	appos	I-protein
)	-RRB-	punct	O
,	,	punct	O
activator	NN	compound	B-protein
protein-1	NN	conj	I-protein
(	-LRB-	punct	O
AP-1	NN	appos	B-protein
)	-RRB-	punct	O
,	,	punct	O
transcription	NN	compound	B-protein
factors	NNS	conj	I-protein
,	,	punct	O
and	CC	cc	O
stimulation	NN	conj	O
of	IN	case	O
interleukin-2	NN	compound	B-DNA
(	-LRB-	punct	I-DNA
IL-2	NN	compound	I-DNA
)	-RRB-	punct	I-DNA
promoter	NN	nmod	I-DNA
and	CC	cc	O
of	IN	case	O
CD69	NN	conj	B-protein
and	CC	cc	O
CD25	NN	conj	B-protein
surface	NN	compound	O
expression	NN	dep	O
paralleled	VBD	ROOT	O
activation	NN	dobj	O
of	IN	case	O
the	DT	det	O
tyrosine	NN	compound	B-protein
kinases	NNS	nmod	I-protein
lck	NN	dep	B-protein
and	CC	cc	O
fyn	NN	conj	B-protein
.	.	punct	O

E2a-	NN	compound	O
Pbx1	NN	nmod:npmod	B-protein
-induced	JJ	amod	O
apoptosis	NN	nsubj	O
proceeded	VBD	ROOT	O
through	IN	case	O
a	DT	det	O
BCL2	NN	compound	B-protein
-responsive	JJ	amod	O
checkpoint	NN	nmod	O
eventuating	NN	acl	O
in	IN	case	O
PARP	NN	compound	B-protein
inactivation	NN	nmod	O
but	CC	cc	O
did	VBD	aux	O
require	VB	conj	O
p53	NN	dobj	B-protein
.	.	punct	O

C/EBP	NN	compound	B-protein
beta	NN	compound	I-protein
regulation	NN	ROOT	O
of	IN	case	O
the	DT	det	O
tumor	NN	compound	B-DNA
necrosis	NN	compound	I-DNA
factor	NN	compound	I-DNA
alpha	NN	compound	I-DNA
gene	NN	nmod	I-DNA
.	.	punct	O

In	IN	case	O
fetal	JJ	amod	O
liver	NN	nmod	O
of	IN	case	O
PU.1-/-	NN	compound	O
mice	NNS	nmod	O
,	,	punct	O
which	WDT	nsubj	O
lack	VBP	acl:relcl	O
lymphoid	JJ	amod	B-cell_type
and	CC	cc	I-cell_type
myeloid	JJ	conj	I-cell_type
cells	NNS	dobj	I-cell_type
,	,	punct	O
expression	NN	nsubjpass	O
of	IN	case	O
Btk	NN	nmod	B-protein
was	VBD	auxpass	O
reduced	VBN	ROOT	O
two-	CD	dobj	O
to	TO	dep	O
threefold	JJ	dep	O
but	CC	cc	O
not	RB	neg	O
abolished	VBN	conj	O
.	.	punct	O

A	DT	det	O
threonine	NN	compound	O
residue	NN	nsubjpass	O
at	IN	case	O
position	NN	nmod	B-protein
234	CD	nummod	I-protein
,	,	punct	O
previously	RB	advmod	O
shown	VBN	acl	O
to	TO	mark	O
be	VB	cop	O
important	JJ	xcomp	O
for	IN	case	O
CD40	NN	compound	B-protein
association	NN	nmod	O
with	IN	case	O
TNF	NN	compound	B-protein
receptor-associated	JJ	amod	I-protein
factor	NN	nmod	I-protein
2	CD	nummod	I-protein
(	-LRB-	punct	O
TRAF2	NN	appos	B-protein
)	-RRB-	punct	O
,	,	punct	O
TRAF3	NN	conj	B-protein
,	,	punct	O
and	CC	cc	O
TRAF5	NN	conj	B-protein
,	,	punct	O
was	VBD	auxpass	O
not	RB	neg	O
required	VBN	ROOT	O
for	IN	case	O
NF-kappa	NN	compound	B-protein
B	NN	compound	I-protein
activation	NN	nmod	O
.	.	punct	O

Exposing	VBG	amod	O
HUVECs	NNS	nsubj	B-cell_line
to	TO	case	O
A/R	NN	nmod	O
induces	VBZ	ROOT	O
an	DT	det	O
increase	NN	dobj	O
in	IN	case	O
nuclear	JJ	amod	B-protein
factor	NN	compound	I-protein
kappaB	NN	nmod	I-protein
(	-LRB-	punct	O
