SCL	NN	compound	B-RNA
mRNA	NN	compound	I-RNA
levels	NNS	nsubj	O
assessed	VBN	acl	O
by	IN	case	O
Northern	NN	compound	O
blot	NN	nmod	O
in	IN	case	O
day	NN	compound	O
7	CD	nummod	O
cells	NNS	nmod	O
did	VBD	aux	O
not	RB	neg	O
increase	VB	ROOT	O
significantly	RB	advmod	O
in	IN	case	O
response	NN	nmod	O
to	TO	case	O
Steel	NN	compound	B-protein
factor	NN	compound	I-protein
stimulation	NN	nmod	O
,	,	punct	O
suggesting	VBG	advcl	O
that	IN	mark	O
posttranscriptional	JJ	amod	O
mechanisms	NNS	nsubj	O
may	MD	aux	O
also	RB	advmod	O
be	VB	cop	O
important	JJ	ccomp	O
in	IN	case	O
the	DT	det	O
increase	NN	nmod	O
in	IN	case	O
SCL	NN	compound	B-protein
protein	NN	nmod	I-protein
observed	VBN	acl	O
in	IN	case	O
response	NN	nmod	O
to	IN	case	O
Steel	NNP	nmod	B-protein
.	.	punct	O

Human	JJ	amod	B-cell_line
monocytic	JJ	amod	I-cell_line
cell	NN	compound	I-cell_line
line	NN	compound	I-cell_line
THP-1	NN	nsubjpass	I-cell_line
was	VBD	auxpass	O
treated	VBN	ROOT	O
with	IN	case	O
E.	FW	compound	O
chaffeensis	NN	nmod	O
which	WDT	nsubjpass	O
had	VBD	aux	O
been	VBN	auxpass	O
preincubated	VBN	acl:relcl	O
with	IN	case	O
human	JJ	amod	O
anti-E.	JJ	amod	O
chaffeensis	NN	compound	O
serum	NN	nmod	O
for	IN	case	O
2	CD	nummod	O
h	NN	nmod	O
,	,	punct	O
and	CC	cc	O
the	DT	det	O
levels	NNS	nsubjpass	O
of	IN	case	O
cytokine	NN	compound	B-RNA
mRNAs	NNS	nmod	I-RNA
were	VBD	auxpass	O
evaluated	VBN	conj	O
by	IN	case	O
competitive	JJ	amod	O
reverse	JJ	amod	O
transcription-PCR	NN	nmod	O
.	.	punct	O

Finally	RB	advmod	O
,	,	punct	O
