does	VBZ	ROOT	O
bruce	NN	compound	B-ACTOR
willis	NNS	compound	I-ACTOR
star	NN	dobj	O
in	IN	prep	O
a	DT	det	O
movie	NN	pobj	O
by	IN	prep	O
tim	JJ	amod	B-DIRECTOR
burton	NN	pobj	I-DIRECTOR

in	IN	prep	O
the	DT	det	O
past	JJ	amod	B-YEAR
eight	CD	nummod	I-YEAR
years	NNS	pobj	I-YEAR
was	VBD	ROOT	O
david	JJ	amod	B-ACTOR
caruso	NN	attr	I-ACTOR
in	IN	prep	O
a	DT	det	O
history	NN	compound	B-GENRE
movie	NN	pobj	O
that	WDT	nsubjpass	O
was	VBD	auxpass	B-RATINGS_AVERAGE
liked	VBN	relcl	I-RATINGS_AVERAGE
a	DT	det	I-RATINGS_AVERAGE
lot	NN	npadvmod	I-RATINGS_AVERAGE

show	VB	ROOT	O
me	PRP	dative	O
the	DT	det	O
movies	NNS	dobj	O
starring	VBG	acl	O
andy	NN	compound	B-ACTOR
garcia	NN	dobj	I-ACTOR

show	VBP	ROOT	O
me	PRP	nsubj	O
oscar	VB	ccomp	B-REVIEW
winning	VBG	xcomp	I-REVIEW
movies	NNS	dobj	O
that	WDT	nsubj	O
are	VBP	relcl	O
in	IN	prep	B-PLOT
french	JJ	pobj	I-PLOT

are	VBP	ROOT	O
there	EX	expl	O
any	DT	det	O
horror	NN	compound	B-GENRE
movies	NNS	attr	O
liked	VBN	acl	B-RATINGS_AVERAGE
by	IN	agent	I-RATINGS_AVERAGE
many	JJ	pobj	I-RATINGS_AVERAGE
starring	VBG	ROOT	O
tucker	NN	compound	B-ACTOR
smallwood	NN	dobj	I-ACTOR
from	IN	prep	O
the	DT	det	O
past	JJ	amod	B-YEAR
four	CD	nummod	I-YEAR
decades	NNS	pobj	I-YEAR

what	WP	det	O
genre	NN	attr	O
is	VBZ	ROOT	O
sex	NN	attr	B-TITLE
in	IN	prep	I-TITLE
the	DT	det	I-TITLE
city	NN	pobj	I-TITLE

show	VBP	ROOT	O
a	DT	det	O
spy	NN	compound	B-GENRE
movie	NN	dobj	I-GENRE
from	IN	prep	O
the	DT	det	O
1943	CD	pobj	B-YEAR

what	WP	attr	O
are	VBP	ROOT	O
some	DT	det	O
movies	NNS	nsubj	O
about	IN	prep	O
the	DT	det	O
military	NN	pobj	B-GENRE

show	VBP	ROOT	O
me	PRP	dative	O
disney	NN	dobj	B-GENRE
coming	VBG	acl	B-PLOT
of	IN	prep	I-PLOT
age	NN	compound	I-PLOT
movies	NNS	pobj	O

has	VBZ	aux	O
will	MD	aux	B-ACTOR
smith	VB	nsubj	I-ACTOR
ever	RB	advmod	O
been	VBN	ROOT	O
in	IN	prep	O
a	DT	det	O
historical	JJ	amod	B-GENRE
movie	NN	pobj	O

what	WP	attr	O
was	VBD	csubj	O
the	DT	det	O
comedy	NN	nsubj	B-GENRE
where	WRB	nsubj	O
will	MD	aux	B-ACTOR
ferrell	VB	relcl	I-ACTOR
went	VBD	ROOT	O
back	RB	advmod	B-PLOT
to	IN	prep	I-PLOT
college	NN	pobj	I-PLOT

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
top	JJ	amod	O
rated	VBN	amod	O
spaghetti	NNS	nsubj	B-GENRE
western	JJ	acomp	I-GENRE
that	WDT	nsubjpass	O
was	VBD	auxpass	O
made	VBN	relcl	O
in	IN	prep	O
the	DT	det	O
1990	CD	pobj	B-YEAR
s	NNS	ROOT	I-YEAR

how	WRB	advmod	O
many	JJ	amod	O
movies	NNS	nsubj	O
in	IN	prep	O
the	DT	det	O
past	JJ	amod	B-YEAR
decade	NN	pobj	I-YEAR
were	VBD	ROOT	O
scary	JJ	acomp	B-GENRE
that	WDT	nsubj	O
revolved	VBD	ccomp	O
around	IN	prep	O
panic	NN	pobj	B-PLOT

was	VBD	ROOT	O
there	EX	expl	O
a	DT	det	O
musical	JJ	attr	B-GENRE
this	DT	det	B-YEAR
year	NN	npadvmod	I-YEAR
that	WDT	nsubj	O
had	VBD	ccomp	O
an	DT	det	O
nc	JJ	amod	B-RATING
17	CD	nummod	I-RATING
rating	NN	dobj	O

was	VBD	ROOT	O
there	EX	expl	O
an	DT	det	O
ok	JJ	amod	B-RATINGS_AVERAGE
joke	NN	compound	B-GENRE
movie	NN	attr	O
back	RB	advmod	O
in	IN	prep	O
the	DT	det	O
2000	CD	nummod	B-YEAR
s	NNS	pobj	I-YEAR
that	WDT	nsubj	O
was	VBD	relcl	O
about	RB	prep	O
a	DT	det	O
first	JJ	amod	B-PLOT
love	NN	attr	I-PLOT

show	VB	ROOT	O
me	PRP	dative	O
all	DT	det	O
movies	NNS	dobj	O
starring	VBG	acl	O
ryan	NN	compound	B-ACTOR
gosling	NN	dobj	I-ACTOR

i	PRP	nsubj	O
am	VBP	aux	O
looking	VBG	ROOT	O
for	IN	prep	O
a	DT	det	O
cartoon	NN	pobj	B-GENRE
with	IN	prep	O
the	DT	det	O
voice	NN	pobj	O
of	IN	prep	O
cameron	NN	compound	B-ACTOR
diaz	NN	pobj	I-ACTOR
as	IN	prep	O
a	DT	det	O
character	NN	pobj	O

how	WRB	advmod	O
many	JJ	amod	O
star	NN	nsubj	B-TITLE
wars	NNS	csubj	I-TITLE
films	NNS	dobj	O
are	VBP	ROOT	O
there	RB	advmod	O

list	NN	compound	O
movies	NNS	ROOT	O
featuring	VBG	acl	O
bob	NN	compound	B-ACTOR
hope	NN	dobj	I-ACTOR
from	IN	prep	O
the	DT	det	O
1950s	NNS	pobj	B-YEAR

was	VBD	ROOT	O
burt	JJ	amod	B-ACTOR
lancaster	NN	attr	I-ACTOR
in	IN	prep	O
any	DT	det	O
unrated	JJ	amod	B-RATING
but	CC	cc	O
good	JJ	conj	B-RATINGS_AVERAGE
movies	NNS	pobj	O

show	VBP	ROOT	O
me	PRP	dative	O
penelope	NN	compound	B-ACTOR
cruzs	NN	compound	I-ACTOR
spanish	JJ	amod	B-PLOT
language	NN	compound	I-PLOT
filmography	NN	dobj	O

what	WDT	det	O
angelica	JJ	amod	B-ACTOR
houston	NN	compound	I-ACTOR
movie	NN	nsubj	O
about	IN	prep	O
secrets	NNS	pobj	B-PLOT
got	VBD	ROOT	O
good	JJ	amod	B-RATINGS_AVERAGE
ratings	NNS	dobj	I-RATINGS_AVERAGE
and	CC	cc	O
came	VBD	conj	O
out	RP	prt	O
during	IN	prep	O
the	DT	det	O
past	JJ	amod	B-YEAR
seven	CD	nummod	I-YEAR
decades	NNS	pobj	I-YEAR

do	VBP	aux	O
you	PRP	nsubj	O
have	VB	ROOT	O
space	NN	compound	B-TITLE
truckers	NNS	dobj	I-TITLE

what	WP	dobj	O
huck	VBD	compound	B-DIRECTOR
botko	NN	nsubj	I-DIRECTOR
short	JJ	csubj	B-GENRE
was	VBD	auxpass	O
well	RB	advmod	B-RATINGS_AVERAGE
rated	VBN	ROOT	I-RATINGS_AVERAGE

find	VB	ROOT	O
post	NN	nmod	B-PLOT
apocalyptic	JJ	amod	I-PLOT
films	NNS	dobj	O
from	IN	prep	O
the	DT	det	O
1980s	CD	pobj	B-YEAR

has	VBZ	aux	O
oliver	JJ	amod	B-DIRECTOR
stone	NN	nsubj	I-DIRECTOR
ever	RB	advmod	O
directed	VBD	ROOT	O
any	DT	det	O
fantasy	NN	compound	B-GENRE
movies	NNS	dobj	O
that	WDT	nsubjpass	O
are	VBP	auxpass	O
rated	VBN	relcl	O
r	NN	punct	B-RATING

what	WP	nsubj	O
is	VBZ	ROOT	O
steel	NN	compound	B-TITLE
magnolias	NNS	nsubj	I-TITLE
rated	VBN	ROOT	O

who	WP	nsubj	O
directed	VBD	ROOT	O
blading	VBG	xcomp	B-TITLE
saddles	NNS	dobj	I-TITLE

what	WP	attr	O
is	VBZ	ROOT	O
a	DT	det	O
good	JJ	amod	O
1990	CD	nummod	B-YEAR
s	POS	meta	I-YEAR
action	NN	compound	B-GENRE
movie	NN	nsubj	O
directed	VBN	acl	O
by	IN	agent	O
stanley	NN	amod	B-DIRECTOR
isaacs	NNS	pobj	I-DIRECTOR

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
name	NN	nsubj	O
of	IN	prep	O
the	DT	det	O
romance	NN	compound	B-GENRE
movie	NN	pobj	O
liked	VBN	acl	B-RATINGS_AVERAGE
by	IN	agent	I-RATINGS_AVERAGE
many	JJ	amod	I-RATINGS_AVERAGE
that	WDT	nsubj	O
starred	VBN	amod	O
leslie	NN	compound	B-ACTOR
nielson	NN	pobj	I-ACTOR

which	WDT	det	O
stacy	NN	compound	B-DIRECTOR
davidson	NN	compound	I-DIRECTOR
movie	NN	nsubj	O
was	VBD	ROOT	O
about	IN	prep	O
a	DT	det	O
hit	NN	pobj	B-PLOT

was	VBD	ROOT	O
audrey	NN	compound	B-ACTOR
hepburn	VB	attr	I-ACTOR
in	IN	prep	O
a	DT	det	O
thriller	NN	pobj	B-GENRE
in	IN	prep	O
the	DT	det	O
1990	CD	pobj	B-YEAR
s	NNS	punct	I-YEAR

list	VB	ROOT	O
a	DT	det	O
romantic	JJ	amod	B-GENRE
comedy	NN	dobj	I-GENRE
made	VBN	acl	O
in	IN	prep	O
1990	CD	pobj	B-YEAR
s	XX	conj	I-YEAR
which	WDT	pobj	O
directors	NNS	nsubj	O
are	VBP	relcl	O
the	DT	det	B-DIRECTOR
coen	JJ	amod	I-DIRECTOR
brothers	NNS	attr	I-DIRECTOR

what	WP	dobj	O
pg	PRP	aux	B-RATING
rated	VBD	csubj	O
1980	CD	nummod	B-YEAR
film	NN	dobj	O
by	IN	prep	O
willard	JJ	compound	B-DIRECTOR
carroll	NN	pobj	I-DIRECTOR
had	VBD	ROOT	O
a	DT	det	O
brooklyn	NN	compound	B-PLOT
plot	NN	dobj	O

is	VBZ	ROOT	O
there	EX	expl	O
an	DT	det	O
r	NN	npadvmod	B-RATING
rated	VBN	amod	O
2000	CD	nummod	B-YEAR
movie	NN	attr	O
starring	VBG	acl	O
vanessa	JJ	amod	B-ACTOR
williams	NNS	attr	I-ACTOR

list	NN	ROOT	O
mockumentary	JJ	amod	B-GENRE
movie	NN	dobj	O
starring	VBG	acl	O
morgan	NN	compound	B-ACTOR
freeman	NN	dobj	I-ACTOR

please	UH	intj	O
find	VB	ROOT	O
a	DT	det	O
list	NN	dobj	O
of	IN	prep	O
movies	NNS	pobj	O
by	IN	prep	O
michael	JJ	amod	B-DIRECTOR
moore	NN	pobj	I-DIRECTOR

is	VBZ	ROOT	O
jim	NNP	compound	B-ACTOR
carrey	NN	attr	I-ACTOR
in	IN	prep	O
wall	NN	pobj	B-TITLE
e	NN	punct	I-TITLE

list	VB	ROOT	O
a	DT	det	O
very	RB	advmod	B-RATINGS_AVERAGE
popular	JJ	amod	I-RATINGS_AVERAGE
science	NN	nmod	B-GENRE
fiction	NN	nmod	I-GENRE
civil	JJ	amod	B-PLOT
war	NN	compound	I-PLOT
film	NN	dobj	O
with	IN	prep	O
actor	NN	pobj	O
denzel	JJ	amod	B-ACTOR
washington	NN	pobj	I-ACTOR

did	VBD	aux	O
leonardo	JJ	amod	B-ACTOR
dicaprio	NN	nsubj	I-ACTOR
have	VB	ROOT	O
a	DT	det	O
voice	NN	compound	O
role	NN	dobj	O
in	IN	prep	O
wall	NN	pobj	B-TITLE
e	NN	punct	I-TITLE

closely	RB	advmod	B-TITLE
watched	VBN	amod	I-TITLE
trains	NNS	ROOT	I-TITLE

show	VB	ROOT	O
me	PRP	dative	O
the	DT	det	O
half	JJ	amod	B-SONG
baked	JJ	amod	I-SONG
soundtrack	NN	dobj	I-SONG

the	DT	det	B-TITLE
godfather	JJ	amod	I-TITLE
part	NN	ROOT	I-TITLE
ii	NN	nummod	I-TITLE

get	VB	ROOT	O
me	PRP	nsubj	O
a	DT	det	O
bollywood	NN	compound	B-GENRE
flick	NN	ccomp	O
with	IN	prep	O
a	DT	det	O
prominent	JJ	amod	O
american	JJ	amod	O
actor	NN	pobj	O

did	VBD	aux	O
gerald	JJ	amod	B-ACTOR
butler	NN	nsubj	I-ACTOR
do	VB	ROOT	O
a	DT	det	O
musical	NN	dobj	O
in	IN	prep	O
the	DT	det	O
2000s	CD	pobj	B-YEAR

find	VB	ROOT	O
a	DT	det	O
comedy	NN	npadvmod	B-GENRE
starring	VBG	amod	O
sean	JJ	amod	B-ACTOR
penn	NNS	dobj	I-ACTOR

is	VBZ	ROOT	O
wall	NN	attr	B-TITLE
e	NN	attr	I-TITLE
well	RB	advmod	B-RATINGS_AVERAGE
rated	VBN	dep	I-RATINGS_AVERAGE

were	VBD	ROOT	O
there	EX	expl	O
any	DT	det	O
female	JJ	amod	B-CHARACTER
leads	NNS	attr	I-CHARACTER
in	IN	prep	O
the	DT	det	B-TITLE
wrestler	NN	pobj	I-TITLE

who	WP	nsubj	O
acted	VBD	ROOT	O
in	IN	prep	O
the	DT	det	O
film	NN	pobj	O
little	JJ	amod	B-TITLE
man	NN	compound	I-TITLE
tate	NN	dobj	I-TITLE

name	VB	ROOT	O
a	DT	det	O
scary	JJ	amod	B-GENRE
rated	VBN	amod	O
