Later	RB	advmod	O
,	,	punct	O
Paul	NNP	nsubj	O
left	VBD	ROOT	O
Athens	NNP	dobj	O
and	CC	cc	O
went	VBD	conj	O
to	IN	prep	O
the	DT	det	O
city	NN	pobj	O
of	IN	prep	O
Corinth	NNP	pobj	O
.	.	punct	O

The	DT	det	O
company	NN	poss	O
's	POS	case	O
third	JJ	amod	B-DATE
-	HYPH	punct	I-DATE
quarter	NN	compound	I-DATE
earnings	NNS	nsubj	O
also	RB	advmod	O
rose	VBD	ROOT	O
to	IN	prep	O
10	CD	nummod	B-MONEY
cents	NNS	pobj	I-MONEY
a	DT	det	O
share	NN	npadvmod	O
from	IN	prep	O
eight	CD	nummod	B-MONEY
cents	NNS	pobj	I-MONEY
a	DT	det	O
share	NN	npadvmod	O
a	DT	det	B-DATE
year	NN	npadvmod	I-DATE
ago	RB	advmod	I-DATE
.	.	punct	O

A	DT	det	O
direct	JJ	amod	O
flight	NN	nsubj	O
takes	VBZ	ROOT	O
only	RB	advmod	O
three	CD	nummod	B-TIME
-	HYPH	punct	I-TIME
and	CC	cc	I-TIME
-	HYPH	punct	I-TIME
a	DT	quantmod	I-TIME
-	HYPH	punct	I-TIME
half	JJ	conj	I-TIME
hours	NNS	dobj	I-TIME
.	.	punct	O

oh	UH	intj	O
,	,	punct	O
really	RB	ROOT	O
?	.	punct	O

The	DT	det	O
Kremlin	NNP	compound	B-ORG
leader	NN	nsubj	O
,	,	punct	O
on	IN	prep	O
the	DT	det	B-DATE
first	JJ	amod	I-DATE
day	NN	pobj	I-DATE
of	IN	prep	O
a	DT	det	O
three	CD	nummod	B-DATE
-	HYPH	punct	I-DATE
day	NN	nmod	I-DATE
official	JJ	amod	O
visit	NN	pobj	O
to	IN	prep	O
Helsinki	NNP	pobj	B-ORG
,	,	punct	O
assured	VBD	ROOT	O
Finland	NNP	poss	B-GPE
's	POS	case	O
president	NN	dobj	O
that	IN	mark	O
the	DT	det	B-GPE
Soviet	NNP	compound	I-GPE
Union	NNP	nsubj	I-GPE
has	VBZ	acl	O
``	``	punct	O
no	DT	det	O
moral	JJ	amod	O
or	CC	cc	O
political	JJ	conj	O
right	NN	dobj	O
''	''	punct	O
to	TO	aux	O
interfere	VB	advcl	O
with	IN	prep	O
moves	NNS	pobj	O
toward	IN	prep	O
democracy	NN	pobj	O
in	IN	prep	O
Poland	NNP	pobj	B-GPE
,	,	punct	O
Hungary	NNP	conj	B-GPE
or	CC	cc	O
elsewhere	RB	conj	O
in	IN	prep	O
Eastern	NNP	compound	B-LOC
