Intellectual	JJ	amod	O
assets	NNS	ROOT	O

Well	UH	intj	O
she	PRP	nsubj	O
looked	VBD	ROOT	O
well	RB	advmod	O

NOTICE	NN	ROOT	O
:	:	punct	O
This	DT	det	O
post	NN	nsubj	O
contains	VBZ	ROOT	O
copyrighted	VBN	amod	O
material	NN	dobj	O
the	DT	det	O
use	NN	nsubjpass	O
of	IN	prep	O
which	WDT	pobj	O
has	VBZ	aux	O
not	RB	neg	O
always	RB	advmod	O
been	VBN	auxpass	O
authorized	VBN	ccomp	O
by	IN	agent	O
the	DT	det	O
copyright	NN	compound	O
owner	NN	pobj	O
.	.	punct	O

In	IN	prep	O
life	NN	pobj	O
,	,	punct	O
she	PRP	nsubj	O
offers	VBZ	ROOT	O
practical	JJ	amod	O
dieting	NN	amod	O
advice	NN	dobj	O
:	:	punct	O
``	``	punct	O
Divide	VB	acl	O
your	PRP$	poss	O
meals	NNS	dobj	O
into	IN	prep	O
important	JJ	amod	O
and	CC	cc	O
unimportant	JJ	conj	O
.	.	punct	O

They	PRP	nsubj	O
're	VBP	aux	O
being	VBG	ROOT	O
overly	RB	advmod	O
optimistic	JJ	acomp	O
in	IN	prep	O
what	WP	dobj	O
they	PRP	nsubj	O
can	MD	aux	O
actually	RB	advmod	O
deliver	VB	pcomp	O
.	.	punct	O

Ritek	NNP	nsubj	B-ORG
is	VBZ	ROOT	O
also	RB	advmod	O
part	NN	attr	O
of	IN	prep	O
a	DT	det	O
group	NN	pobj	O
-LRB-	NNP	punct	O
which	WDT	nsubj	O
includes	VBZ	relcl	O
Dataplay	NNP	dobj	B-ORG
,	,	punct	O
Samsung	NNP	conj	B-ORG
and	CC	cc	O
Toshiba	NNP	conj	B-ORG
-RRB-	NNP	punct	O
that	WDT	nsubj	O
is	VBZ	aux	O
researching	VBG	conj	O
and	CC	cc	O
developing	VBG	conj	O
a	DT	det	O
data	NNS	compound	O
storage	NN	compound	O
device	NN	dobj	O
no	RB	neg	O
larger	JJR	amod	O
than	IN	prep	O
a	DT	det	O
wrist	NN	compound	O
watch	NN	pobj	O
,	,	punct	O
as	RB	advmod	O
well	RB	advmod	O
as	IN	cc	O
the	DT	det	O
applications	NNS	conj	O
for	IN	prep	O
it	PRP	pobj	O
.	.	punct	O

They	PRP	nsubj	O
said	VBD	ROOT	O
the	DT	det	O
agreement	NN	nsubjpass	O
will	MD	aux	O
be	VB	auxpass	O
submitted	VBN	ccomp	O
to	IN	prep	O
their	PRP$	poss	O
respective	JJ	amod	O
supervisory	JJ	amod	O
boards	NNS	pobj	O
next	IN	nmod	B-DATE
Wednesday	NNP	npadvmod	I-DATE
.	.	punct	O

We	PRP	nsubj	O
'll	MD	aux	O
assess	VB	ROOT	O
the	DT	det	O
lingering	VBG	amod	O
threat	NN	dobj	O
uh	UH	intj	O
in	IN	prep	O
United	NNP	compound	B-GPE
States	NNP	pobj	I-GPE
and	CC	cc	O
around	IN	conj	O
the	DT	det	O
world	NN	pobj	O
from	IN	prep	O
three	CD	nummod	B-CARDINAL
security	NN	compound	O
experts	NNS	pobj	O
/.	.	punct	O

I	PRP	nsubj	O
mean	VBP	parataxis	O
this	DT	nsubj	O
is	VBZ	ROOT	O
a	DT	det	O
huge	JJ	amod	O
submarine	NN	attr	O
.	.	punct	O

Each	DT	nsubj	O
claims	VBZ	ROOT	O
to	TO	aux	O
possess	VB	xcomp	O
the	DT	det	O
right	JJ	amod	O
technology	NN	dobj	O
and	CC	cc	O
wants	VBZ	conj	O
just	RB	advmod	O
a	DT	det	O
bit	NN	npadvmod	O
more	JJR	amod	O
