``	``	punct	O
It	PRP	nsubj	O
's	VBZ	aux	O
just	RB	advmod	O
going	VBG	ROOT	O
to	TO	aux	O
be	VB	xcomp	O
sloppy	JJ	acomp	O
,	,	punct	O
both	DT	advmod	O
on	IN	prep	O
our	PRP$	poss	O
side	NN	pobj	O
and	CC	cc	O
theirs	NN	conj	O
-LCB-	JJ	punct	O
the	DT	det	B-LAW
Warsaw	NNP	compound	I-LAW
Pact	NNP	poss	I-LAW
's	POS	case	I-LAW
-RCB-	NNP	nsubj	O
,	,	punct	O
''	''	punct	O
says	VBZ	ROOT	O
one	CD	nummod	B-CARDINAL
NATO	NNP	compound	B-ORG
analyst	NN	nsubj	O
.	.	punct	O

Justice	NNP	compound	O
Liu	NNP	compound	B-PERSON
Tieh	NNP	compound	I-PERSON
-	HYPH	punct	I-PERSON
cheng	NNP	nsubj	I-PERSON
wrote	VBD	ROOT	O
a	DT	det	O
dissenting	VBG	amod	O
opinion	NN	dobj	O
in	IN	prep	O
which	WDT	pobj	O
he	PRP	nsubj	O
noted	VBD	relcl	O
that	IN	mark	O
appropriations	NNS	nsubjpass	O
are	VBP	auxpass	O
listed	VBN	ccomp	O
in	IN	prep	O
the	DT	det	B-LAW
ROC	NNP	compound	I-LAW
Constitution	NNP	pobj	I-LAW
together	RB	advmod	O
with	IN	prep	O
legislative	JJ	amod	O
bills	NNS	pobj	O
and	CC	cc	O
treaty	NN	compound	O
ratification	NN	compound	O
bills	NNS	conj	O
,	,	punct	O
and	CC	cc	O
argued	VBD	conj	O
that	IN	mark	O
they	PRP	nsubjpass	O
should	MD	aux	O
be	VB	auxpass	O
treated	VBN	ccomp	O
the	DT	det	O
same	JJ	amod	O
way	NN	npadvmod	O
.	.	punct	O

These	DT	nsubj	O
and	CC	cc	O
other	JJ	amod	O
expensive	JJ	amod	O
changes	NNS	conj	O
in	IN	prep	O
products	NNS	pobj	O
ranging	VBG	acl	O
from	IN	prep	O
auto	NN	compound	O
air	NN	compound	O
conditioners	NNS	pobj	O
to	IN	prep	O
foam	NN	compound	O
cushioning	NN	pobj	O
to	IN	prep	O
commercial	JJ	amod	O
solvents	NNS	pobj	O
are	VBP	ROOT	O
in	IN	prep	O
prospect	NN	pobj	O
because	IN	prep	O
of	IN	pcomp	O
something	NN	pobj	O
called	VBN	acl	O
the	DT	det	B-LAW
Montreal	NNP	compound	I-LAW
Protocol	NNP	oprd	I-LAW
,	,	punct	O
signed	VBN	acl	O
by	IN	agent	O
24	CD	nummod	B-CARDINAL
nations	NNS	pobj	O
in	IN	prep	O
1987	CD	pobj	B-DATE
.	.	punct	O

Insisting	VBG	advcl	O
that	IN	mark	O
they	PRP	nsubjpass	O
are	VBP	auxpass	O
protected	VBN	ccomp	O
by	IN	agent	O
the	DT	det	B-LAW
Voting	NNP	compound	I-LAW
Rights	NNPS	compound	I-LAW
Act	NNP	pobj	I-LAW
,	,	punct	O
a	DT	det	O
group	NN	nsubj	O
of	IN	prep	O
whites	NNS	pobj	O
brought	VBD	ROOT	O
a	DT	det	O
federal	JJ	amod	O
suit	NN	dobj	O
in	IN	prep	O
1987	CD	pobj	B-DATE
to	TO	aux	O
demand	VB	advcl	O
that	IN	mark	O
the	DT	det	O
city	NN	nsubj	O
abandon	VBP	ccomp	O
at	IN	nmod	O
-	HYPH	punct	O
large	JJ	pobj	O
voting	NN	dobj	O
for	IN	prep	O
the	DT	det	O
nine	CD	nummod	B-CARDINAL
member	NN	compound	O
City	NNP	compound	B-ORG
Council	NNP	pobj	I-ORG
and	CC	cc	O
create	VB	conj	O
nine	CD	nummod	B-CARDINAL
electoral	JJ	amod	O
districts	NNS	dobj	O
,	,	punct	O
including	VBG	prep	O
four	CD	nummod	B-CARDINAL
safe	JJ	amod	O
white	JJ	amod	O
districts	NNS	pobj	O
.	.	punct	O

According	VBG	prep	O
to	IN	prep	O
the	DT	det	B-LAW
"	``	punct	I-LAW
Washington	NNP	compound	I-LAW
Declaration	NNP	pobj	I-LAW
"	''	punct	I-LAW
signed	VBN	acl	O
by	IN	agent	O
King	NNP	compound	O
Hussein	NNP	pobj	B-PERSON
of	IN	prep	O
Jordan	NNP	pobj	B-GPE
and	CC	cc	O
Premier	NNP	compound	O
Rabin	NNP	conj	B-PERSON
of	IN	prep	O
Israel	NNP	pobj	B-GPE
on	IN	prep	O
July	NNP	compound	B-DATE
25th	NN	pobj	I-DATE
,	,	punct	O
the	DT	det	O
two	CD	nummod	B-CARDINAL
parties	NNS	nsubj	O
will	MD	aux	O
open	VB	ROOT	O
up	RP	prt	O
two	CD	nummod	B-CARDINAL
border	NN	compound	O
ports	NNS	dobj	O
.	.	punct	O

Speaking	VBG	advcl	O
in	IN	prep	O
English	NNP	pobj	B-LANGUAGE
the	DT	det	O
teacher	NN	nsubj	O
tells	VBZ	ROOT	O
the	DT	det	O
children	NNS	dobj	O
to	TO	aux	O
do	VB	xcomp	O
various	JJ	amod	O
actions	NNS	dobj	O
:	:	punct	O

To	TO	aux	O
thank	VB	advcl	O
him	PRP	dobj	O
for	IN	prep	O
his	PRP$	poss	O
contributions	NNS	pobj	O
to	IN	prep	O
their	PRP$	poss	O
tribe	NN	pobj	O
,	,	punct	O
Teng	NNP	poss	B-PERSON
's	POS	case	O
Atayal	NNP	compound	B-NORP
friends	NNS	nsubj	O
call	VBP	ROOT	O
him	PRP	dobj	O
"	``	punct	O
Hiro	NNP	oprd	B-PERSON
,	,	punct	O
"	''	punct	O
which	WDT	nsubj	O
means	VBZ	relcl	O
"	``	punct	O
sun	NN	dobj	O
"	''	punct	O
in	IN	prep	O
Sediq	NNP	pobj	B-LANGUAGE
.	.	punct	O

``	``	punct	O
When	WRB	advmod	O
we	PRP	nsubj	O
started	VBD	advcl	O
the	DT	det	O
program	NN	dobj	O
six	CD	nummod	B-DATE
years	NNS	npadvmod	I-DATE
ago	RB	advmod	I-DATE
,	,	punct	O
the	DT	det	O
use	NN	nsubjpass	O
of	IN	prep	O
Filipino	NNP	pobj	B-LANGUAGE
was	VBD	auxpass	O
deemed	VBN	ccomp	O
unwise	JJ	oprd	O
by	IN	agent	O
the	DT	det	O
predominantly	RB	advmod	O
middle	JJ	amod	O
class	NN	pobj	O
,	,	punct	O
''	''	punct	O
says	VBZ	ROOT	O
Lydia	NNP	compound	B-PERSON
Brown	NNP	nsubj	I-PERSON
,	,	punct	O
the	DT	det	O
program	NN	poss	O
's	POS	case	O
creator	NN	appos	O
.	.	punct	O

Chen	NNP	compound	B-PERSON
Chien	NNP	compound	I-PERSON
-	HYPH	punct	I-PERSON
hao	NNP	nsubj	I-PERSON
,	,	punct	O
another	DT	det	O
teacher	NN	appos	O
at	IN	prep	O
Jen	NNP	compound	B-ORG
Ai	NNP	compound	I-ORG
Primary	NNP	compound	I-ORG
School	NNP	pobj	I-ORG
,	,	punct	O
says	VBZ	ROOT	O
that	IN	mark	O
at	RB	advmod	O
least	RBS	advmod	O
two	CD	nummod	B-CARDINAL
-	HYPH	punct	I-CARDINAL
thirds	NNS	nsubj	I-CARDINAL
of	IN	prep	O
his	PRP$	poss	O
more	JJR	amod	B-CARDINAL
than	IN	quantmod	I-CARDINAL
600	CD	nummod	I-CARDINAL
students	NNS	pobj	O
are	VBP	aux	O
getting	VBG	ccomp	O
extra	JJ	amod	O
English	JJ	amod	B-LANGUAGE
lessons	NNS	dobj	O
outside	IN	prep	O
school	NN	pobj	O
.	.	punct	O

These	DT	nsubj	O
include	VBP	ROOT	O
establishing	VBG	xcomp	O
English	NNP	compound	B-LANGUAGE
Teaching	NNP	compound	O
Departments	NNPS	dobj	O
at	IN	prep	O
teacher	NN	compound	O
training	NN	compound	O
colleges	NNS	pobj	O
and	CC	cc	O
supplementary	JJ	amod	O
education	NN	compound	O
courses	NNS	conj	O
at	IN	prep	O
tertiary	JJ	amod	O
institutions	NNS	pobj	O
,	,	punct	O
allowing	VBG	advcl	O
graduates	NNS	dobj	O
who	WP	nsubj	O
intend	VBP	relcl	O
to	TO	aux	O
become	VB	xcomp	O
English	JJ	amod	B-LANGUAGE
teachers	NNS	attr	O
in	IN	prep	O
primary	JJ	amod	O
schools	NNS	pobj	O
to	TO	aux	O
obtain	VB	advcl	O
official	JJ	amod	O
teaching	NN	compound	O
qualifications	NNS	dobj	O
,	,	punct	O
and	CC	cc	O
providing	VBG	conj	O
further	JJ	amod	O
training	NN	dobj	O
for	IN	prep	O
qualified	JJ	amod	O
teachers	NNS	pobj	O
