oh	UH	intj	O
about	IN	ROOT	O
the	DT	det	O
prayers	NNS	pobj	O
like	IN	prep	O

Tuesday	NNP	poss	B-DATE
's	POS	case	O
rout	NN	ROOT	O
of	IN	prep	O
a	DT	det	O
GOP	NNP	nmod	B-ORG
congressional	JJ	amod	O
hopeful	NN	pobj	O
in	IN	prep	O
a	DT	det	O
Mississippi	NNP	compound	B-GPE
district	NN	pobj	O
that	WDT	nsubj	O
has	VBZ	aux	O
n't	RB	neg	O
backed	VBN	relcl	O
a	DT	det	O
Democratic	JJ	amod	B-NORP
presidential	JJ	amod	O
candidate	NN	dobj	O
since	IN	mark	O
Adlai	NNP	compound	B-PERSON
Stevenson	NNP	nsubj	I-PERSON
is	VBZ	advcl	O
another	DT	det	O
reminder	NN	attr	O
that	IN	mark	O
,	,	punct	O
at	IN	advmod	O
least	JJS	advmod	O
at	IN	prep	O
the	DT	det	O
federal	JJ	amod	O
level	NN	pobj	O
,	,	punct	O
political	JJ	amod	O
``	``	punct	O
ticket	NN	compound	O
splitting	NN	nsubj	O
''	''	punct	O
has	VBZ	aux	O
been	VBN	acl	O
on	IN	prep	O
the	DT	det	O
rise	NN	pobj	O
over	IN	prep	O
the	DT	det	B-DATE
past	JJ	amod	I-DATE
half	JJ	amod	I-DATE
century	NN	pobj	I-DATE
.	.	punct	O

Espionage	NN	nsubj	O
reflects	VBZ	ROOT	O
a	DT	det	O
lack	NN	dobj	O
of	IN	prep	O
respect	NN	pobj	O
for	IN	prep	O
knowledge	NN	pobj	O
.	.	punct	O

yeah	UH	ROOT	O

yeah	UH	ROOT	O

The	DT	det	O
time	NN	nsubjpass	O
for	IN	prep	O
the	DT	det	O
transition	NN	pobj	O
to	IN	prep	O
the	DT	det	O
new	JJ	amod	O
administration	NN	pobj	O
is	VBZ	auxpass	O
dramatically	RB	advmod	O
reduced	VBN	ROOT	O
.	.	punct	O

The	DT	det	O
only	JJ	amod	O
solution	NN	nsubj	O
seemed	VBD	ROOT	O
to	TO	aux	O
be	VB	xcomp	O
to	TO	aux	O
have	VB	xcomp	O
her	PRP	nsubj	O
learn	VB	ccomp	O
French	NNP	dobj	B-LANGUAGE
.	.	punct	O

Wow	UH	intj	O
you	PRP	nsubj	O
're	VBP	aux	O
getting	VBG	ROOT	O
there	RB	advmod	O
.	.	punct	O

%ah	UH	ROOT	O

oh	UH	ROOT	O

You	PRP	nsubj	O
know	VBP	parataxis	O
to	TO	aux	O
keep	VB	xcomp	O
it	PRP	dobj	O
under	IN	prep	O
control	NN	pobj	O
is	VBZ	ROOT	O
one	CD	nummod	O
thing	NN	attr	O

Aeroflot	NNP	poss	B-ORG
's	POS	case	O
international	JJ	amod	O
fleet	NN	nsubjpass	O
of	IN	prep	O
285	CD	nummod	B-CARDINAL
planes	NNS	pobj	O
is	VBZ	aux	O
being	VBG	auxpass	O
repainted	VBN	ROOT	O
and	CC	cc	O
refurbished	VBN	conj	O
at	IN	prep	O
Shannon	NNP	compound	B-FAC
Airport	NNP	pobj	I-FAC
.	.	punct	O

An	DT	det	B-CARDINAL
estimated	VBN	amod	I-CARDINAL
3	CD	compound	I-CARDINAL
million	CD	nummod	I-CARDINAL
people	NNS	nsubj	O
will	MD	aux	O
die	VB	ROOT	O
from	IN	prep	O
AIDS	NNP	pobj	O
this	DT	det	B-DATE
year	NN	npadvmod	I-DATE
.	.	punct	O

He	PRP	nsubj	O
knows	VBZ	ROOT	O
the	DT	det	O
subject	NN	dobj	O
very	RB	advmod	O
well	RB	advmod	O
/.	.	punct	O

I	PRP	nsubj	O
mean	VBP	parataxis	O
,	,	punct	O
the	DT	det	O
wind	NN	nsubj	O
blows	VBZ	ROOT	O
.	.	punct	O

The	DT	det	O
principle	NN	nsubjpass	O
of	IN	prep	O
"	``	punct	O
invigorating	VBG	pcomp	O
large	JJ	amod	O
enterprises	NNS	dobj	O
while	IN	mark	O
relaxing	VBG	advcl	O
control	NN	dobj	O
over	IN	prep	O
small	JJ	amod	O
ones	NNS	pobj	O
"	''	punct	O
has	VBZ	aux	O
been	VBN	auxpass	O
strengthened	VBN	ROOT	O
.	.	punct	O

Marketing	NN	compound	O
analyst	NN	compound	O
Sohail	NNP	compound	B-PERSON
Seth	NNP	nsubj	I-PERSON
,	,	punct	O
believes	VBZ	ROOT	O
that	IN	mark	O
fast	JJ	amod	O
food	NN	compound	O
companies	NNS	nsubj	O
will	MD	aux	O
only	RB	advmod	O
survive	VB	ccomp	O
if	IN	mark	O
they	PRP	nsubj	O
take	VBP	advcl	O
seriously	RB	advmod	O
the	DT	det	O
need	NN	dobj	O
to	TO	aux	O
be	VB	acl	O
culturally	RB	advmod	O
sensitive	JJ	acomp	O
.	.	punct	O

The	DT	det	O
ombudsman	NN	nsubj	O
at	IN	prep	O
The	DT	det	B-ORG
Post	NNP	compound	I-ORG
Deborah	NNP	compound	B-PERSON
Howell	NNP	pobj	I-PERSON
has	VBZ	ROOT	O
a	DT	det	O
very	RB	advmod	O
thoughtful	JJ	amod	O
analysis	NN	dobj	O
of	IN	prep	O
this	DT	det	O
question	NN	pobj	O
in	IN	prep	O
the	DT	det	O
paper	NN	pobj	O
today	NN	npadvmod	B-DATE
which	WDT	pobj	O
I	PRP	nsubj	O
would	MD	aux	O
refer	VB	relcl	O
people	NNS	dobj	O
to	IN	prep	O
/.	.	punct	O

An	DT	det	O
Appeal	NN	ROOT	O
from	IN	prep	O
a	DT	det	O
communist	NN	pobj	B-NORP
at	IN	prep	O
the	DT	det	O
Fenghua	NNP	compound	B-LOC
Garden	NNP	compound	I-LOC
community	NN	pobj	O
.	.	punct	O

so	CC	advmod	O
I	PRP	nsubj	O
'm	VBP	aux	O
going	VBG	ROOT	O
to	TO	aux	O
be	VB	aux	O
spending	VBG	xcomp	O
a	DT	det	O
lot	NN	dobj	O
of	IN	prep	O
time	NN	pobj	O
over	RB	advmod	O
there	RB	advmod	O
/.	.	punct	O

For	IN	prep	O
many	JJ	amod	O
money	NN	compound	O
managers	NNS	pobj	O
,	,	punct	O
the	DT	det	B-DATE
past	JJ	amod	I-DATE
four	CD	nummod	I-DATE
months	NNS	nsubj	I-DATE
have	VBP	aux	O
been	VBN	ROOT	O
humiliating	JJ	acomp	O
.	.	punct	O

Neither	DT	nsubj	O
of	IN	prep	O
the	DT	det	O
two	CD	nummod	B-CARDINAL
chemists	NNS	pobj	O
whose	WP$	poss	O
Utah	NNP	compound	B-GPE
experiments	NNS	nsubj	O
triggered	VBD	relcl	O
the	DT	det	O
cold	JJ	amod	O
fusion	NN	compound	O
uproar	NN	dobj	O
,	,	punct	O
Martin	NNP	compound	B-PERSON
Fleischmann	NNP	conj	I-PERSON
and	CC	cc	O
B.	NNP	compound	B-PERSON
Stanley	NNP	compound	I-PERSON
Pons	NNP	conj	I-PERSON
,	,	punct	O
were	VBD	ROOT	O
at	IN	prep	O
the	DT	det	O
meeting	NN	pobj	O
.	.	punct	O

Philippe	NNP	compound	B-PERSON
Shatiney	NNP	nsubj	I-PERSON
is	VBZ	ROOT	O
an	DT	det	O
editor	NN	attr	O
of	IN	prep	O
the	DT	det	O
French	JJ	amod	B-NORP
news	NN	compound	O
weekly	NN	pobj	O
,	,	punct	O
Mahiyan	NNP	appos	B-ORG
.	.	punct	O

but	CC	cc	O
you	PRP	nsubj	O
know	VBP	ROOT	O
what	WP	nsubj	O
happened	VBD	ccomp	O
ah	UH	intj	O
/.	.	punct	O

Nevertheless	RB	advmod	O
,	,	punct	O
thanks	NNS	npadvmod	O
to	IN	prep	O
its	PRP$	poss	O
solid	JJ	amod	O
foundations	NNS	pobj	O
built	VBN	acl	O
up	RP	prt	O
over	IN	quantmod	O
40	CD	nummod	B-DATE
years	NNS	npadvmod	I-DATE
,	,	punct	O
the	DT	det	O
textile	NN	compound	O
industry	NN	nsubj	O
is	VBZ	ROOT	O
still	RB	advmod	O
a	DT	det	O
pillar	NN	attr	O
of	IN	prep	O
Taiwan	NNP	poss	B-GPE
's	POS	case	O
economy	NN	pobj	O
.	.	punct	O

Because	IN	mark	O
in	IN	prep	O
Russian	NNP	pobj	B-NORP
it	PRP	nsubj	O
's	VBZ	ROOT	O
just	RB	advmod	O
you	PRP	nsubj	O
know	VBP	parataxis	O
Lyubov	NNP	attr	B-PERSON

oh	UH	intj	O
the	DT	det	O
worst	JJS	ROOT	O
of	IN	prep	O
the	DT	det	O
winter	NN	pobj	O
right	RB	advmod	O
.	.	punct	O

From	IN	prep	O
1980	CD	pobj	B-DATE
to	IN	prep	I-DATE
1988	CD	pobj	I-DATE
,	,	punct	O
while	IN	mark	O
federal	JJ	amod	O
budget	NN	compound	O
deficits	NNS	nsubj	O
totaled	VBD	advcl	O
$	$	quantmod	B-MONEY
1.41	CD	compound	I-MONEY
trillion	CD	dobj	I-MONEY
,	,	punct	O
the	DT	det	O
government	NN	nsubj	O
issued	VBD	ROOT	O
$	$	quantmod	B-MONEY
394	CD	compound	I-MONEY
billion	CD	dobj	I-MONEY
of	IN	prep	O
new	JJ	amod	O
direct	JJ	amod	O
loans	NNS	pobj	O
and	CC	cc	O
an	DT	det	B-MONEY
additional	JJ	amod	I-MONEY
$	$	quantmod	I-MONEY
756	CD	compound	I-MONEY
billion	CD	conj	I-MONEY
of	IN	prep	O
new	JJ	amod	O
primary	JJ	amod	O
loan	NN	compound	O
guarantees	NNS	pobj	O
.	.	punct	O

we	PRP	nsubj	O
've	VBP	ROOT	O
/-	.	punct	O

so	RB	advmod	O
you	PRP	nsubj	O
throw	VBP	ROOT	O
the	DT	det	O
plastic	NN	amod	O
bag	NN	dobj	O
away	RB	advmod	O
when	WRB	advmod	O
you	PRP	nsubjpass	O
're	VBP	auxpass	O
done	VBN	advcl	O
.	.	punct	O

oh	UH	ROOT	O
my	UH	intj	O
gosh	UH	intj	O
.	.	punct	O

He	PRP	nsubj	O
emphasized	VBD	ROOT	O
that	IN	mark	O
his	PRP$	poss	O
administration	NN	nsubj	O
would	MD	aux	O
abide	VB	ccomp	O
by	IN	prep	O
the	DT	det	B-LAW
International	NNP	compound	I-LAW
Declaration	NNP	pobj	I-LAW
of	IN	prep	I-LAW
Human	NNP	compound	I-LAW
Rights	NNPS	pobj	I-LAW
,	,	punct	O
the	DT	det	B-LAW
Citizens	NNPS	poss	I-LAW
'	POS	case	I-LAW
Public	NNP	compound	I-LAW
Trust	NNP	compound	I-LAW
Treaty	NNP	conj	I-LAW
,	,	punct	O
and	CC	cc	O
the	DT	det	O
manifesto	NN	conj	O
and	CC	cc	O
action	NN	compound	O
platform	NN	conj	O
of	IN	prep	O
the	DT	det	B-EVENT
Vienna	NNP	compound	I-EVENT
International	NNP	compound	I-EVENT
Convention	NNP	pobj	I-EVENT
on	IN	prep	I-EVENT
Human	NNP	compound	I-EVENT
Rights	NNPS	pobj	I-EVENT
,	,	punct	O
so	IN	mark	O
that	IN	mark	O
Taiwan	NNP	nsubj	B-GPE
could	MD	aux	O
be	VB	advcl	O
a	DT	det	O
part	NN	attr	O
of	IN	prep	O
the	DT	det	O
international	JJ	amod	O
human	JJ	amod	O
rights	NNS	compound	O
system	NN	pobj	O
.	.	punct	O

Their	PRP$	poss	O
replacements	NNS	nsubj	O
,	,	punct	O
CDs	NNS	conj	O
and	CC	cc	O
VCDs	NNS	conj	O
,	,	punct	O
are	VBP	aux	O
now	RB	advmod	O
cresting	VBG	ROOT	O
,	,	punct	O
soon	RB	advmod	O
to	TO	aux	O
be	VB	auxpass	O
vanquished	VBN	advcl	O
by	IN	agent	O
DVDs	NNS	pobj	O
,	,	punct	O
which	WDT	nsubj	O
though	IN	prep	O
next	JJ	pcomp	O
in	IN	prep	O
line	NN	pobj	O
are	VBP	aux	O
already	RB	advmod	O
feeling	VBG	relcl	O
mini-disks	NNS	dobj	O
closing	VBG	acl	O
in	RP	prt	O
on	IN	prep	O
them	PRP	pobj	O
.	.	punct	O

That	RB	nsubj	O
is	RB	advmod	O
,	,	punct	O
it	PRP	nsubj	O
is	VBZ	ROOT	O
from	IN	prep	O
the	DT	det	O
perspective	NN	pobj	O
of	IN	prep	O
Arabs	NNPS	pobj	B-NORP
that	IN	mark	O
it	PRP	nsubj	O
looks	VBZ	ccomp	O
at	IN	prep	O
the	DT	det	O
war	NN	pobj	O
or	CC	cc	O
also	RB	advmod	O
looks	VBZ	conj	O
at	IN	prep	O
major	JJ	amod	O
events	NNS	pobj	O
.	.	punct	O

As	IN	mark	O
we	PRP	nsubj	O
've	VBP	aux	O
said	VBN	advcl	O
all	RB	advmod	O
along	IN	prep	O
the	DT	det	O
government	NN	pobj	O
of	IN	prep	O
Libya	NNP	pobj	B-GPE
must	MD	aux	O
take	VB	ROOT	O
