Melanie	NNP	None	B-PERSON
I	PRP	None	O
want	VBP	None	O
to	TO	None	O
get	VB	None	O
some	DT	None	O
reporting	NN	None	O
here	RB	None	O
an	DT	None	O
opportunity	NN	None	O
to	TO	None	O
report	VB	None	O
/.	.	None	O

Following	VBG	None	O
the	DT	None	O
suspected	VBN	None	O
terrorist	JJ	None	O
attack	NN	None	O
that	WDT	None	O
killed	VBD	None	O
17	CD	None	B-CARDINAL
of	IN	None	O
the	DT	None	O
Cole	NNP	None	B-PRODUCT
's	POS	None	O
sailors	NNS	None	O
,	,	None	O
US	NNP	None	B-GPE
officials	NNS	None	O
say	VBP	None	O
they	PRP	None	O
are	VBP	None	O
still	RB	None	O
piecing	VBG	None	O
together	RP	None	O
evidence	NN	None	O
they	PRP	None	O
hope	VBP	None	O
will	MD	None	O
lead	VB	None	O
to	IN	None	O
the	DT	None	O
capture	NN	None	O
of	IN	None	O
those	DT	None	O
responsible	JJ	None	O
.	.	None	O

yeah	UH	None	O

it	PRP	None	O
's	VBZ	None	O
breathtaking	JJ	None	O
.	.	None	O

On	IN	None	O
a	DT	None	O
Sabbath	NNP	None	O
day	NN	None	O
,	,	None	O
Jesus	NNP	None	O
went	VBD	None	O
to	IN	None	O
the	DT	None	O
home	NN	None	O
of	IN	None	O
a	DT	None	O
leading	VBG	None	O
Pharisee	NNP	None	O
to	TO	None	O
eat	VB	None	O
with	IN	None	O
him	PRP	None	O
.	.	None	O

They	PRP	None	O
were	VBD	None	O
in	IN	None	O
their	PRP$	None	O
boat	NN	None	O
,	,	None	O
preparing	VBG	None	O
their	PRP$	None	O
nets	NNS	None	O
to	TO	None	O
catch	VB	None	O
fish	NN	None	O
.	.	None	O

I	PRP	None	O
think	VBP	None	O
in	IN	None	O
Florida	NNP	None	B-GPE
we	PRP	None	O
recruited	VBD	None	O
the	DT	None	O
best	JJS	None	O
and	CC	None	O
the	DT	None	O
brightest	JJS	None	O
and	CC	None	O
people	NNS	None	O
who	WP	None	O
we	PRP	None	O
knew	VBD	None	O
would	MD	None	O
be	VB	None	O
excellent	JJ	None	O
in	IN	None	O
really	RB	None	O
a	DT	None	O
tough	JJ	None	O
and	CC	None	O
historical	JJ	None	O
setting	NN	None	O
and	CC	None	O
that	DT	None	O
's	VBZ	None	O
where	WRB	None	O
those	DT	None	O
guys	NNS	None	O
came	VBD	None	O
in	RP	None	O
/.	.	None	O

Defense	NN	None	O
lawyers	NNS	None	O
have	VBP	None	O
said	VBN	None	O
all	RB	None	O
along	RB	None	O
that	IN	None	O
it	PRP	None	O
was	VBD	None	O
Palestinians	NNPS	None	B-NORP
and	CC	None	O
not	RB	None	O
their	PRP$	None	O
Libyan	JJ	None	B-NORP
clients	NNS	None	O
who	WP	None	O
bombed	VBD	None	O
Pan	NNP	None	B-PRODUCT
Am	NNP	None	I-PRODUCT
103	CD	None	I-PRODUCT
.	.	None	O

When	WRB	None	O
we	PRP	None	O
go	VBP	None	O
there	RB	None	O
,	,	None	O
it	PRP	None	O
's	VBZ	None	O
quite	RB	None	O
different	JJ	None	O
from	IN	None	O
these	DT	None	O
Hollywood	NNP	None	B-GPE
places	NNS	None	O
where	WRB	None	O
the	DT	None	O
sandwiches	NNS	None	O
are	VBP	None	O
spread	VBN	None	O
out	RP	None	O
on	IN	None	O
the	DT	None	O
table	NN	None	O
and	CC	None	O
the	DT	None	O
people	NNS	None	O
are	VBP	None	O
picking	VBG	None	O
their	PRP$	None	O
noses	NNS	None	O
.	.	None	O
''	''	None	O

Any	DT	None	O
idea	NN	None	O
how	WRB	None	O
many	JJ	None	O
babies	NNS	None	O
are	VBP	None	O
out	IN	None	O
there	RB	None	O
,	,	None	O
Frank	NNP	None	B-PERSON
?	.	None	O

I	PRP	None	O
wrote	VBD	None	O
so	IN	None	O
that	IN	None	O
you	PRP	None	O
would	MD	None	O
realize	VB	None	O
,	,	None	O
before	IN	None	O
God	NNP	None	O
,	,	None	O
how	WRB	None	O
very	RB	None	O
much	RB	None	O
you	PRP	None	O
care	VBP	None	O
for	IN	None	O
us	PRP	None	O
.	.	None	O

The	DT	None	O
Pentagon	NNP	None	B-ORG
will	MD	None	O
be	VB	None	O
staging	VBG	None	O
its	PRP$	None	O
own	JJ	None	O
independent	JJ	None	O
investigation	NN	None	O
into	IN	None	O
circumstances	NNS	None	O
surrounding	VBG	None	O
the	DT	None	O
bombing	NN	None	O
and	CC	None	O
today	NN	None	B-DATE
named	VBD	None	O
retired	VBN	None	O
Navy	NNP	None	B-ORG
Admiral	NNP	None	O
Harold	NNP	None	B-PERSON
Geeman	NNP	None	I-PERSON
and	CC	None	O
retired	VBN	None	O
Army	NNP	None	B-ORG
General	NNP	None	O
William	NNP	None	B-PERSON
Crouch	NNP	None	I-PERSON
to	TO	None	O
lead	VB	None	O
that	DT	None	O
probe	NN	None	O
.	.	None	O

okay	UH	None	O

Well	UH	None	O
,	,	None	O
this	DT	None	O
is	VBZ	None	O
not	RB	None	O
an	DT	None	O
episode	NN	None	O
of	IN	None	O
Joe	NNP	None	B-WORK_OF_ART
Dictator	NNP	None	I-WORK_OF_ART
,	,	None	O
or	CC	None	O
an	DT	None	O
Iraqi	JJ	None	B-NORP
version	NN	None	O
of	IN	None	O
The	DT	None	B-WORK_OF_ART
Lifestyles	NNPS	None	I-WORK_OF_ART
of	IN	None	I-WORK_OF_ART
the	DT	None	I-WORK_OF_ART
Rich	NNP	None	I-WORK_OF_ART
and	CC	None	I-WORK_OF_ART
Famous	NNP	None	I-WORK_OF_ART
.	.	None	O

UN	NNP	None	B-ORG
officials	NNS	None	O
themselves	PRP	None	O
have	VBP	None	O
said	VBN	None	O
that	DT	None	O
/.	.	None	O

The	DT	None	B-ORG
World	NNP	None	I-ORG
Psychiatric	NNP	None	I-ORG
Association	NNP	None	I-ORG
voted	VBD	None	O
at	IN	None	O
an	DT	None	O
Athens	NNP	None	B-GPE
parley	NN	None	O
to	TO	None	O
conditionally	RB	None	O
readmit	VB	None	O
the	DT	None	B-GPE
Soviet	NNP	None	I-GPE
Union	NNP	None	I-GPE
.	.	None	O

At	IN	None	O
the	DT	None	O
last	JJ	None	O
minute	NN	None	O
,	,	None	O
however	RB	None	O
,	,	None	O
Pakistani	JJ	None	B-NORP
officials	NNS	None	O
sent	VBD	None	O
in	RP	None	O
Gulbuddin	NNP	None	B-PERSON
Hekhmatyar	NNP	None	I-PERSON
,	,	None	O
perhaps	RB	None	O
the	DT	None	O
most	RBS	None	O
hated	VBN	None	O
and	CC	None	O
feared	VBN	None	O
of	IN	None	O
the	DT	None	O
extremists	NNS	None	O
,	,	None	O
with	IN	None	O
a	DT	None	O
demand	NN	None	O
that	IN	None	O
the	DT	None	O
surrender	NN	None	O
be	VB	None	O
made	VBN	None	O
to	IN	None	O
his	PRP$	None	O
forces	NNS	None	O
.	.	None	O

To	IN	None	O
the	DT	None	O
lady	NN	None	O
chosen	VBN	None	O
by	IN	None	O
God	NNP	None	O
and	CC	None	O
to	IN	None	O
her	PRP$	None	O
children	NNS	None	O
.	.	None	O

1.	LS	None	B-CARDINAL
Cultivating	VBG	None	O
explanation	NN	None	O
skills	NNS	None	O
,	,	None	O
so	IN	None	O
that	IN	None	O
you	PRP	None	O
can	MD	None	O
explain	VB	None	O
specialized	JJ	None	O
knowledge	NN	None	O
to	IN	None	O
non-specialists	NNS	None	O
and	CC	None	O
they	PRP	None	O
can	MD	None	O
get	VB	None	O
the	DT	None	O
gist	NN	None	O
.	.	None	O

Terms	NNS	None	O
of	IN	None	O
the	DT	None	O
transaction	NN	None	O
were	VBD	None	O
n't	RB	None	O
disclosed	VBN	None	O
.	.	None	O

so	RB	None	O
it	PRP	None	O
's	VBZ	None	O
going	VBG	None	O
to	TO	None	O
be	VB	None	O
another	DT	None	B-DATE
three	CD	None	I-DATE
years	NNS	None	I-DATE
before	IN	None	O
I	PRP	None	O
graduate	VBP	None	O
.	.	None	O
oh	UH	None	O
.	.	None	O
Unless	IN	None	O
I	PRP	None	O
just	RB	None	O
decide	VBP	None	O
to	TO	None	O
give	VB	None	O
up	RP	None	O
and	CC	None	O
just	RB	None	O
take	VB	None	O
what	WP	None	O
I	PRP	None	O
've	VBP	None	O
got	VBN	None	O
.	.	None	O

``	``	None	O
Do	VB	None	O
n't	RB	None	O
be	VB	None	O
afraid	JJ	None	O
of	IN	None	O
the	DT	None	O
people	NNS	None	O
who	WP	None	O
make	VBP	None	O
you	PRP	None	O
suffer	VB	None	O
;	:	None	O
do	VB	None	O
n't	RB	None	O
be	VB	None	O
worried	JJ	None	O
.	.	None	O
''	''	None	O

Yes	UH	None	O
,	,	None	O
they	PRP	None	O
are	VBP	None	O
stupid	JJ	None	O
otherwise	RB	None	O
what	WP	None	O
is	VBZ	None	O
the	DT	None	O
benefit	NN	None	O
of	IN	None	O
executing	VBG	None	O
Saddam	NNP	None	B-PERSON
Hussein	NNP	None	I-PERSON
at	IN	None	O
this	DT	None	O
time	NN	None	O
?	.	None	O

But	CC	None	O
there	EX	None	O
are	VBP	None	O
still	RB	None	O
pitfalls	NNS	None	O
to	TO	None	O
watch	VB	None	O
out	RP	None	O
for	IN	None	O
.	.	None	O

After	IN	None	O
God	NNP	None	O
took	VBD	None	O
Saul	NNP	None	O
away	RB	None	O
,	,	None	O
God	NNP	None	O
made	VBD	None	O
David	NNP	None	O
their	PRP$	None	O
king	NN	None	O
.	.	None	O

This	DT	None	O
is	VBZ	None	O
what	WP	None	O
deprives	VBZ	None	O
the	DT	None	O
judge	NN	None	O
of	IN	None	O
his	PRP$	None	O
legitimacy	NN	None	O
in	IN	None	O
judging	NN	None	O
,	,	None	O
0	NFP	None	O
as	IN	None	O
he	PRP	None	O
follows	VBZ	None	O
the	DT	None	O
dictations	NNS	None	O
of	IN	None	O
the	DT	None	O
prosecutor	NN	None	O
and	CC	None	O
others	NNS	None	O
.	.	None	O

Some	DT	None	O
remarkable	JJ	None	O
stories	NNS	None	O
,	,	None	O
we	PRP	None	O
're	VBP	None	O
looking	VBG	None	O
at	IN	None	O
now	RB	None	O
,	,	None	O
a	DT	None	O
sailor	NN	None	O
seeing	VBG	None	O
his	PRP$	None	O
baby	NN	None	O
for	IN	None	O
the	DT	None	O
first	JJ	None	O
time	NN	None	O
,	,	None	O
just	RB	None	O
remarkable	JJ	None	O
.	.	None	O

But	CC	None	O
God	NNP	None	O
cares	VBZ	None	O
enough	RB	None	O
to	TO	None	O
make	VB	None	O
it	PRP	None	O
beautiful	JJ	None	O
.	.	None	O

so	RB	None	O
that	DT	None	O
's	VBZ	None	O
kind	RB	None	O
of	RB	None	O
cool	JJ	None	O

So	RB	None	O
Senator	NNP	None	O
McConnell	NNP	None	B-PERSON
do	VBP	None	O
they	PRP	None	O
want	VB	None	O
to	TO	None	O
have	VB	None	O
it	PRP	None	O
both	DT	None	O
ways	NNS	None	O
/?	.	None	O

There	EX	None	O
was	VBD	None	O
a	DT	None	O
warning	NN	None	O
from	IN	None	O
chip	NN	None	O
maker	NN	None	O
Advanced	NNP	None	B-ORG
Micro	NNP	None	I-ORG
Devices	NNP	None	I-ORG
.	.	None	O

the	DT	None	O
DVD	NN	None	O
comes	VBZ	None	O
with	IN	None	O
it	PRP	None	O
/.	.	None	O

April	NNP	None	B-DATE
fifth	NN	None	I-DATE
voluntarily	RB	None	O
goes	VBZ	None	O
to	IN	None	O
court	NN	None	O
after	IN	None	O
receiving	VBG	None	O
a	DT	None	O
summons	NNS	None	O
/.	.	None	O

A	DT	None	O
genetic	JJ	None	O
probe	NN	None	O
showed	VBD	None	O
the	DT	None	O
hemoglobin	NN	None	O
gene	NN	None	O
was	VBD	None	O
missing	VBG	None	O
,	,	None	O
the	DT	None	O
researchers	NNS	None	O
report	VBP	None	O
in	IN	None	O
the	DT	None	O
medical	JJ	None	O
journal	NN	None	O
Lancet	NNP	None	B-ORG
.	.	None	O

If	IN	None	O
you	PRP	None	O
are	VBP	None	O
someone	NN	None	O
with	IN	None	O
insufficient	JJ	None	O
downward	JJ	None	O
tilting	NN	None	O
,	,	None	O
or	CC	None	O
engage	VB	None	O
in	IN	None	O
intense	JJ	None	O
exercise	NN	None	O
,	,	None	O
you	PRP	None	O
may	MD	None	O
require	VB	None	O
greater	JJR	None	O
shock	NN	None	O
absorption	NN	None	O
than	IN	None	O
people	NNS	None	O
with	IN	None	O
excess	JJ	None	O
downward	JJ	None	O
tilting	NN	None	O
.	.	None	O

no	UH	None	O
you	PRP	None	O
know	VB	None	O
what	WP	None	O
I	PRP	None	O
think	VBP	None	O
you	PRP	None	O
should	MD	None	O
do	VB	None	O
.	.	None	O

Obviously	RB	None	O
,	,	None	O
neither	DT	None	O
plan	NN	None	O
came	VBD	None	O
off	RP	None	O
.	.	None	O

In	IN	None	O
addition	NN	None	O
,	,	None	O
scholars	NNS	None	O
have	VBP	None	O
discovered	VBN	None	O
that	IN	None	O
the	DT	None	O
bronze	NN	None	O
weapons	NNS	None	O
unearthed	VBN	None	O
along	IN	None	O
with	IN	None	O
the	DT	None	O
soldiers	NNS	None	O
all	DT	None	O
have	VBP	None	O
a	DT	None	O
different	JJ	None	O
percentage	NN	None	O
of	IN	None	O
copper	NN	None	O
and	CC	None	O
tin	NN	None	O
,	,	None	O
depending	VBG	None	O
on	IN	None	O
their	PRP$	None	O
purpose	NN	None	O
.	.	None	O

Ah	UH	None	O
,	,	None	O
people	NNS	None	O
may	MD	None	O
also	RB	None	O
frequently	RB	None	O
ask	VB	None	O
such	PDT	None	O
a	DT	None	O
question	NN	None	O
that	IN	None	O
since	IN	None	O
it	PRP	None	O
is	VBZ	None	O
the	DT	None	O
most	RBS	None	O
important	JJ	None	O
thing	NN	None	O
for	IN	None	O
a	DT	None	O
country	NN	None	O
to	TO	None	O
keep	VB	None	O
good	JJ	None	O
relationship	NN	None	O
with	IN	None	O
its	PRP$	None	O
neighboring	NN	None	O
countries	NNS	None	O
,	,	None	O
why	WRB	None	O
would	MD	None	O
Japan	NNP	None	B-GPE
want	VB	None	O
to	TO	None	O
seek	VB	None	O
far	RB	None	O
and	CC	None	O
wide	RB	None	O
for	IN	None	O
what	WP	None	O
lies	VBZ	None	O
close	RB	None	O
at	IN	None	O
hand	NN	None	O
?	.	None	O

And	CC	None	O
some	DT	None	O
Democrats	NNPS	None	B-NORP
said	VBD	None	O
the	DT	None	O
president	NNP	None	O
's	POS	None	O
action	NN	None	O
is	VBZ	None	O
a	DT	None	O
stick	NN	None	O
in	IN	None	O
the	DT	None	O
eye	NN	None	O
just	RB	None	O
as	IN	None	O
the	DT	None	O
Senate	NNP	None	B-ORG
is	VBZ	None	O
preparing	VBG	None	O
for	IN	None	O
confirmation	NN	None	O
hearings	NNS	None	O
of	IN	None	O
John	NNP	None	B-PERSON
Roberts	NNP	None	I-PERSON
the	DT	None	O
president	NN	None	O
's	POS	None	O
nominee	NN	None	O
for	IN	None	O
the	DT	None	B-ORG
Supreme	NNP	None	I-ORG
Court	NNP	None	I-ORG
/.	.	None	O

See	UH	None	O
that	DT	None	O
could	MD	None	O
be	VB	None	O
it	PRP	None	O
.	.	None	O

Even	RB	None	O
if	IN	None	O
Mr.	NNP	None	O
Crandall	NNP	None	B-PERSON
is	VBZ	None	O
correct	JJ	None	O
,	,	None	O
he	PRP	None	O
of	IN	None	O
all	DT	None	O
people	NNS	None	O
must	MD	None	O
realize	VB	None	O
our	PRP$	None	O
society	NN	None	O
relies	VBZ	None	O
on	IN	None	O
competition	NN	None	O
to	TO	None	O
keep	VB	None	O
prices	NNS	None	O
at	IN	None	O
a	DT	None	O
competitive	JJ	None	O
level	NN	None	O
.	.	None	O

Quite	RB	None	O
apart	RB	None	O
from	IN	None	O
the	DT	None	O
difficulties	NNS	None	O
of	IN	None	O
keeping	VBG	None	O
his	PRP$	None	O
family	NN	None	O
fed	JJ	None	O
,	,	None	O
he	PRP	None	O
often	RB	None	O
was	VBD	None	O
n't	RB	None	O
even	RB	None	O
sure	JJ	None	O
how	WRB	None	O
old	JJ	None	O
his	PRP$	None	O
three	CD	None	B-CARDINAL
children	NNS	None	O
were	VBD	None	O
and	CC	None	O
what	WDT	None	O
year	NN	None	O
of	IN	None	O
school	NN	None	O
they	PRP	None	O
were	VBD	None	O
in	IN	None	O
.	.	None	O

Do	VB	None	O
n't	RB	None	O
be	VB	None	O
drunk	JJ	None	O
with	IN	None	O
wine	NN	None	O
,	,	None	O
which	WDT	None	O
will	MD	None	O
ruin	VB	None	O
your	PRP$	None	O
life	NN	None	O
,	,	None	O
but	CC	None	O
be	VB	None	O
filled	VBN	None	O
with	IN	None	O
the	DT	None	O
Spirit	NNP	None	O
.	.	None	O

The	DT	None	B-ORG
General	NNP	None	I-ORG
Accounting	NNP	None	I-ORG
Office	NNP	None	I-ORG
estimates	VBZ	None	O
that	IN	None	O
50	CD	None	B-PERCENT
%	NN	None	I-PERCENT
of	IN	None	O
IRS	NNP	None	B-ORG
audits	NN	None	O
do	VBP	None	O
n't	RB	None	O
spot	VB	None	O
companies	NNS	None	O
that	WDT	None	O
fail	VBP	None	O
to	TO	None	O
file	VB	None	O
the	DT	None	O
reports	NNS	None	O
.	.	None	O

He	PRP	None	O
was	VBD	None	O
a	DT	None	O
threat	NN	None	O
/.	.	None	O

William	NNP	None	B-PERSON
Kaiser	NNP	None	I-PERSON
,	,	None	O
president	NN	None	O
of	IN	None	O
the	DT	None	B-ORG
Kaiser	NNP	None	I-ORG
Financial	NNP	None	I-ORG
Group	NNP	None	I-ORG
in	IN	None	O
Chicago	NNP	None	B-GPE
,	,	None	O
said	VBD	None	O
the	DT	None	O
decline	NN	None	O
was	VBD	None	O
almost	RB	None	O
certainly	RB	None	O
influenced	VBN	None	O
by	IN	None	O
the	DT	None	O
early	JJ	None	B-DATE
sell	NN	None	O
-	HYPH	None	O
off	NN	None	O
in	IN	None	O
the	DT	None	O
stock	NN	None	O
market	NN	None	O
,	,	None	O
which	WDT	None	O
partly	RB	None	O
reflected	VBD	None	O
a	DT	None	O
weakening	NN	None	O
economy	NN	None	O
.	.	None	O

and	CC	None	O
like	UH	None	O
he	PRP	None	O
drove	VBD	None	O
by	RB	None	O
in	IN	None	O
his	PRP$	None	O
B	NNP	None	B-PRODUCT
M	NNP	None	I-PRODUCT
W	NNP	None	I-PRODUCT

The	DT	None	B-ORG
European	NNP	None	I-ORG
Community	NNP	None	I-ORG
Commission	NNP	None	I-ORG
increased	VBD	None	O
its	PRP$	None	O
forecast	NN	None	O
for	IN	None	O
economic	JJ	None	O
growth	NN	None	O
in	IN	None	O
the	DT	None	O
EC	NNP	None	B-ORG
in	IN	None	O
1989	CD	None	B-DATE
to	IN	None	O
3.5	CD	None	B-PERCENT
%	NN	None	I-PERCENT
,	,	None	O
slightly	RB	None	O
higher	JJR	None	O
than	IN	None	O
its	PRP$	None	O
June	NNP	None	B-DATE
projection	NN	None	O
of	IN	None	O
3.25	CD	None	B-PERCENT
%	NN	None	I-PERCENT
.	.	None	O

He	PRP	None	O
is	VBZ	None	O
the	DT	None	O
one	NN	None	O
they	PRP	None	O
said	VBD	None	O
would	MD	None	O
come	VB	None	O
.	.	None	O

Like	IN	None	O
wearing	VBG	None	O
one	CD	None	O
dress	NN	None	O
.	.	None	O

Boaz	NNP	None	O
was	VBD	None	O
the	DT	None	O
son	NN	None	O
of	IN	None	O
Salmon	NNP	None	O
.	.	None	O

I	PRP	None	O
have	VBP	None	O
come	VBN	None	O
not	RB	None	O
to	TO	None	O
destroy	VB	None	O
their	PRP$	None	O
teachings	NNS	None	O
but	CC	None	O
to	TO	None	O
give	VB	None	O
full	JJ	None	O
meaning	NN	None	O
to	IN	None	O
them	PRP	None	O
.	.	None	O

But	CC	None	O
what	WP	None	O
should	MD	None	O
our	PRP$	None	O
mood	NN	None	O
be	VB	None	O
when	WRB	None	O
it	PRP	None	O
comes	VBZ	None	O
to	IN	None	O
the	DT	None	B-FAC
Fourth	NNP	None	I-FAC
Nuclear	NNP	None	I-FAC
Power	NNP	None	I-FAC
Plant	NNP	None	I-FAC
's	POS	None	I-FAC
impact	NN	None	O
on	IN	None	O
the	DT	None	O
