p.	NN	None	O
69	CD	None	B-CARDINAL

He	PRP	None	O
gave	VBD	None	O
us	PRP	None	O
that	DT	None	O
grace	NN	None	O
in	IN	None	O
Christ	NNP	None	O
,	,	None	O
the	DT	None	O
one	NN	None	O
he	PRP	None	O
loves	VBZ	None	O
.	.	None	O

But	CC	None	O
the	DT	None	O
handlers	NNS	None	O
mistakenly	RB	None	O
stuck	VBD	None	O
with	IN	None	O
silicon	NN	None	O
chips	NNS	None	O
;	:	None	O
they	PRP	None	O
needed	VBD	None	O
kryptonite	NN	None	O
.	.	None	O

okay	UH	None	O
yeah	UH	None	O

Philippe	NNP	None	B-PERSON
Shatiney	NNP	None	I-PERSON
is	VBZ	None	O
an	DT	None	O
editor	NN	None	O
of	IN	None	O
the	DT	None	O
French	JJ	None	B-NORP
news	NN	None	O
weekly	NN	None	O
,	,	None	O
Mahiyan	NNP	None	B-ORG
.	.	None	O

I	PRP	None	O
w-	XX	None	O
/-	.	None	O

Jesus	NNP	None	O
looked	VBD	None	O
around	RB	None	O
at	IN	None	O
all	DT	None	O
of	IN	None	O
them	PRP	None	O
,	,	None	O
then	RB	None	O
said	VBD	None	O
to	IN	None	O
the	DT	None	O
man	NN	None	O
,	,	None	O
``	``	None	O
Hold	VB	None	O
out	RP	None	O
your	PRP$	None	O
hand	NN	None	O
.	.	None	O
''	''	None	O

In	IN	None	O
order	NN	None	O
to	TO	None	O
enhance	VB	None	O
their	PRP$	None	O
sense	NN	None	O
of	IN	None	O
identification	NN	None	O
with	IN	None	O
the	DT	None	O
school	NN	None	O
,	,	None	O
NTUST	NNP	None	B-ORG
designed	VBD	None	O
an	DT	None	O
overseas	JJ	None	O
business	NN	None	O
camp	NN	None	O
program	NN	None	O
.	.	None	O

Guangzhou	NNP	None	B-GPE
,	,	None	O
sunny	JJ	None	O
,	,	None	O
17	CD	None	B-CARDINAL
to	TO	None	O
26	CD	None	B-QUANTITY
degrees	NNS	None	I-QUANTITY
.	.	None	O

The	DT	None	O
President	NNP	None	O
of	IN	None	O
the	DT	None	B-GPE
United	NNP	None	I-GPE
States	NNP	None	I-GPE
coming	VBG	None	O
for	IN	None	O
a	DT	None	O
brief	JJ	None	O
two	CD	None	B-DATE
-	HYPH	None	I-DATE
day	NN	None	I-DATE
summit	NN	None	O
with	IN	None	O
the	DT	None	O
British	JJ	None	B-NORP
Prime	NNP	None	O
Minister	NNP	None	O
Tony	NNP	None	B-PERSON
Blair	NNP	None	I-PERSON
.	.	None	O

--	:	None	O

Her	PRP$	None	O
fast	JJ	None	O
songs	NNS	None	O
have	VBP	None	O
a	DT	None	O
fresh	JJ	None	O
style	NN	None	O
,	,	None	O
and	CC	None	O
her	PRP$	None	O
slow	JJ	None	O
songs	NNS	None	O
convey	VBP	None	O
a	DT	None	O
soft	RB	None	O
melancholy	NN	None	O
.	.	None	O
"	''	None	O

but	CC	None	O
I	PRP	None	O
have	VBP	None	O
n't	RB	None	O
had	VBN	None	O
you	PRP	None	O
know	VBP	None	O
any	DT	None	B-PERSON
good	JJ	None	O
response	NN	None	O

I	PRP	None	O
am	VBP	None	O
inviting	VBG	None	O
them	PRP	None	O
to	TO	None	O
govern	VB	None	O
with	IN	None	O
them	PRP	None	O
together	RB	None	O
.	.	None	O

Cuba	NNP	None	B-GPE
's	POS	None	O
Communist	NNP	None	B-ORG
Party	NNP	None	I-ORG
officials	NNS	None	O
have	VBP	None	O
vowed	VBD	None	O
not	RB	None	O
to	TO	None	O
spend	VB	None	O
one	CD	None	B-MONEY
cent	NN	None	I-MONEY
on	IN	None	O
US	NNP	None	B-GPE
goods	NNS	None	O
.	.	None	O

%ah	UH	None	O
,	,	None	O
the	DT	None	O
Epsteins	NNPS	None	B-PERSON
.	.	None	O

We	PRP	None	O
had	VBD	None	O
F	NNP	None	B-PRODUCT
aircraft	NN	None	I-PRODUCT
drop	VB	None	O
laser	NN	None	O
-	HYPH	None	O
guided	VBN	None	O
bombs	NNS	None	O
,	,	None	O
Fs	NNPS	None	B-PRODUCT
drop	VBP	None	O
Joint	NNP	None	B-PRODUCT
Direct	NNP	None	I-PRODUCT
Attack	NNP	None	I-PRODUCT
Munitions	NNPS	None	I-PRODUCT
or	CC	None	O
J	NNP	None	B-PRODUCT
-	HYPH	None	I-PRODUCT
DAM	NNP	None	I-PRODUCT
weapons	NNS	None	O
into	IN	None	O
eastern	JJ	None	O
Afghanistan	NNP	None	B-GPE
today	NN	None	B-DATE
.	.	None	O

Having	VBG	None	O
a	DT	None	O
chance	NN	None	O
to	TO	None	O
see	VB	None	O
Gao	NNP	None	B-PERSON
in	IN	None	O
person	NN	None	O
,	,	None	O
TIBE	NNP	None	B-EVENT
visitors	NNS	None	O
naturally	RB	None	O
focused	VBD	None	O
on	IN	None	O
his	PRP$	None	O
artistic	JJ	None	O
vision	NN	None	O
and	CC	None	O
creative	JJ	None	O
process	NN	None	O
.	.	None	O

The	DT	None	O
flagship	NN	None	O
's	VBZ	None	O
in	IN	None	O
New	NNP	None	B-GPE
York	NNP	None	I-GPE
City	NNP	None	I-GPE
/.	.	None	O

The	DT	None	O
film	NN	None	O
crew	NN	None	O
had	VBD	None	O
set	VBN	None	O
up	RP	None	O
the	DT	None	O
lights	NNS	None	O
to	TO	None	O
shoot	VB	None	O
this	DT	None	O
scene	NN	None	O
of	IN	None	O
a	DT	None	O
dust	NN	None	O
storm	NN	None	O
,	,	None	O
when	WRB	None	O
suddenly	RB	None	O
Byrne	NNP	None	B-PERSON
said	VBD	None	O
she	PRP	None	O
was	VBD	None	O
hungry	JJ	None	O
and	CC	None	O
wanted	VBD	None	O
to	TO	None	O
rest	VB	None	O
.	.	None	O

It	PRP	None	O
can	MD	None	O
never	RB	None	O
be	VB	None	O
an	DT	None	O
easy	JJ	None	O
one	NN	None	O
/.	.	None	O

Last	JJ	None	B-DATE
year	NN	None	I-DATE
,	,	None	O
US	NNP	None	B-GPE
corporations	NNS	None	O
occupied	VBD	None	O
80	CD	None	B-PERCENT
%	NN	None	I-PERCENT
of	IN	None	O
Tianjin	NNP	None	B-GPE
City	NNP	None	I-GPE
's	POS	None	I-GPE
foreign	JJ	None	O
merchant	NN	None	O
investment	NN	None	O
,	,	None	O
with	IN	None	O
operating	VBG	None	O
volume	NN	None	O
occupying	VBG	None	O
32	CD	None	B-PERCENT
%	NN	None	I-PERCENT
,	,	None	O
but	CC	None	O
profits	NNS	None	O
occupying	VBG	None	O
45	CD	None	B-PERCENT
%	NN	None	I-PERCENT
.	.	None	O

and	CC	None	O
some	DT	None	O
of	IN	None	O
it	PRP	None	O
is	VBZ	None	O
/.	.	None	O

"	``	None	O
When	WRB	None	O
I	PRP	None	O
felt	VBD	None	O
that	IN	None	O
I	PRP	None	O
had	VBD	None	O
reached	VBN	None	O
a	DT	None	O
crisis	NN	None	O
,	,	None	O
I	PRP	None	O
did	VBD	None	O
n't	RB	None	O
run	VBN	None	O
away	RB	None	O
from	IN	None	O
it	PRP	None	O
,	,	None	O
but	CC	None	O
made	VBD	None	O
the	DT	None	O
crisis	NN	None	O
into	IN	None	O
a	DT	None	O
challenge	NN	None	O
and	CC	None	O
faced	VBD	None	O
it	PRP	None	O
with	IN	None	O
courage	NN	None	O
.	.	None	O
