Well	RB	None	O
,	,	None	O
notes	VBZ	None	O
IRS	NNP	None	B-LAW
private	JJ	None	I-LAW
ruling	NN	None	I-LAW
8934014	CD	None	I-LAW
,	,	None	O
``	``	None	O
a	DT	None	O
fundamental	JJ	None	O
principle	NN	None	O
''	''	None	O
is	VBZ	None	O
that	DT	None	O
income	NN	None	O
must	MD	None	O
be	VB	None	O
taxed	VBN	None	O
to	IN	None	O
whoever	WP	None	O
earns	VBZ	None	O
it	PRP	None	O
.	.	None	O

Nobody	NN	None	O
knows	VBZ	None	O
how	WRB	None	O
many	JJ	None	O
billions	NNS	None	B-MONEY
of	IN	None	I-MONEY
dollars	NNS	None	I-MONEY
the	DT	None	B-LAW
Americans	NNPS	None	I-LAW
With	IN	None	I-LAW
Disabilities	NNPS	None	I-LAW
Act	NNP	None	I-LAW
will	MD	None	O
cost	VB	None	O
,	,	None	O
because	IN	None	O
nobody	NN	None	O
knows	VBZ	None	O
what	WP	None	O
the	DT	None	O
bill	NN	None	O
entails	VBZ	None	O
.	.	None	O

But	CC	None	O
now	RB	None	O
that	IN	None	O
Congress	NNP	None	B-ORG
has	VBZ	None	O
missed	VBN	None	O
the	DT	None	O
legal	JJ	None	O
deadline	NN	None	O
for	IN	None	O
meeting	VBG	None	O
the	DT	None	O
Gramm	NNP	None	B-LAW
-	HYPH	None	I-LAW
Rudman	NNP	None	I-LAW
targets	NNS	None	O
,	,	None	O
the	DT	None	B-ORG
White	NNP	None	I-ORG
House	NNP	None	I-ORG
said	VBD	None	O
it	PRP	None	O
has	VBZ	None	O
returned	VBN	None	O
to	IN	None	O
its	PRP$	None	O
original	JJ	None	O
view	NN	None	O
that	IN	None	O
a	DT	None	O
capital	NN	None	O
-	HYPH	None	O
gains	NNS	None	O
cut	NN	None	O
should	MD	None	O
be	VB	None	O
part	NN	None	O
of	IN	None	O
the	DT	None	O
deficit	NN	None	O
-	HYPH	None	O
reduction	NN	None	O
bill	NN	None	O
,	,	None	O
on	IN	None	O
which	WDT	None	O
Congress	NNP	None	B-ORG
continues	VBZ	None	O
to	TO	None	O
work	VB	None	O
.	.	None	O

But	CC	None	O
it	PRP	None	O
certainly	RB	None	O
is	VBZ	None	O
an	DT	None	O
improvement	NN	None	O
with	IN	None	O
things	NNS	None	O
like	IN	None	O
the	DT	None	B-LAW
Patriot	NNP	None	I-LAW
Act	NNP	None	I-LAW
strengthening	VBG	None	O
the	DT	None	O
FISA	NNP	None	B-LAW
uh	UH	None	O
enforcement	NN	None	O
allowing	VBG	None	O
the	DT	None	O
intelligence	NN	None	O
agencies	NNS	None	O
and	CC	None	O
the	DT	None	O
FBI	NNP	None	B-ORG
to	TO	None	O
talk	VB	None	O
to	IN	None	O
each	DT	None	O
